gameid, league, split, playoffs, series_num, game_num, ego_team, opp_team, gamelength, top_player, top_champion, top_primary_kills, top_primary_deaths, top_primary_assists, top_primary_total_cs, jgl_player, jgl_champion, jgl_primary_kills, jgl_primary_deaths, jgl_primary_assists, jgl_primary_total_cs, mid_player, mid_champion, mid_primary_kills, mid_primary_deaths, mid_primary_assists, mid_primary_total_cs, bot_player, bot_champion, bot_primary_kills, bot_primary_deaths, bot_primary_assists, bot_primary_total_cs, sup_player, sup_champion, sup_primary_kills, sup_primary_deaths, sup_primary_assists, sup_primary_total_cs, constant_turrets, constant_dragons, constant_heralds, constant_barons, constant_win, constant_win_under_30, constant_first_blood
LOLTMNT01_67535, LCS, Spring, 1, A, 1, 100 Thieves, Cloud9, 2066, Sniper, Aatrox, 0, 4, 1, 251.0, River, Xin Zhao, 0, 4, 4, 185.0, Quid, Hwei, 3, 4, 1, 327.0, Meech, Smolder, 1, 1, 1, 328.0, Eyla, Nautilus, 0, 2, 2, 47.0, 2.0, 1.0, 1.0, 0.0, 0, 0, 0.0
LOLTMNT01_68149, LCS, Spring, 1, A, 2, 100 Thieves, Cloud9, 1647, Sniper, Aatrox, 0, 3, 3, 238.0, River, Kindred, 2, 6, 2, 163.0, Quid, Ahri, 3, 3, 5, 251.0, Meech, Aphelios, 1, 5, 1, 196.0, Eyla, Lulu, 2, 4, 2, 43.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0
LOLTMNT01_67577, LCS, Spring, 1, A, 3, 100 Thieves, Cloud9, 1523, Sniper, Rumble, 1, 5, 0, 171.0, River, Rell, 0, 3, 5, 120.0, Quid, Yasuo, 3, 3, 1, 251.0, Meech, Kai'Sa, 1, 4, 2, 237.0, Eyla, Alistar, 0, 3, 4, 32.0, 0.0, 1.0, 0.0, 0.0, 0, 0, 0.0
LOLTMNT01_69263, LCS, Spring, 1, B, 1, 100 Thieves, NRG Kia, 2291, Sniper, Jayce, 4, 7, 7, 301.0, River, Jax, 2, 8, 5, 180.0, Quid, Taliyah, 8, 2, 6, 413.0, Meech, Senna, 1, 6, 6, 82.0, Eyla, Ornn, 1, 5, 10, 233.0, 3.0, 3.0, 0.0, 0.0, 0, 0, 0.0
LOLTMNT01_68851, LCS, Spring, 1, B, 2, 100 Thieves, NRG Kia, 1812, Sniper, Jax, 5, 3, 5, 251.0, River, Lee Sin, 8, 2, 8, 211.0, Quid, Veigar, 3, 2, 6, 310.0, Meech, Senna, 2, 1, 11, 64.0, Eyla, Seraphine, 1, 1, 12, 204.0, 10.0, 4.0, 1.0, 1.0, 1, 1, 0.0
LOLTMNT01_68865, LCS, Spring, 1, B, 3, 100 Thieves, NRG Kia, 2043, Sniper, Jax, 3, 1, 10, 316.0, River, Lee Sin, 5, 1, 10, 199.0, Quid, Akali, 9, 0, 6, 337.0, Meech, Kai'Sa, 3, 2, 8, 344.0, Eyla, Nautilus, 1, 2, 12, 56.0, 11.0, 2.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT01_68881, LCS, Spring, 1, B, 4, 100 Thieves, NRG Kia, 2113, Sniper, Jax, 1, 3, 3, 254.0, River, Viego, 6, 3, 7, 248.0, Quid, Ahri, 5, 3, 9, 307.0, Meech, Varus, 2, 4, 9, 285.0, Eyla, Milio, 0, 1, 14, 38.0, 9.0, 1.0, 1.0, 1.0, 0, 0, 1.0
LOLTMNT01_69326, LCS, Spring, 1, B, 5, 100 Thieves, NRG Kia, 2201, Sniper, Aatrox, 3, 1, 6, 334.0, River, Nocturne, 3, 1, 7, 291.0, Quid, Ahri, 6, 0, 9, 378.0, Meech, Kai'Sa, 3, 1, 8, 355.0, Eyla, Rell, 1, 2, 14, 49.0, 10.0, 3.0, 1.0, 3.0, 1, 1, 0.0
LOLTMNT01_75223, LCS, Spring, 1, C, 1, 100 Thieves, Team Liquid, 1481, Sniper, K'Sante, 0, 4, 1, 178.0, River, Maokai, 0, 6, 2, 108.0, Quid, Jayce, 2, 3, 1, 256.0, Meech, Jinx, 1, 4, 2, 208.0, Eyla, Tahm Kench, 0, 4, 2, 32.0, 2.0, 1.0, 0.0, 0.0, 0, 0, 0.0
LOLTMNT01_74883, LCS, Spring, 1, C, 2, 100 Thieves, Team Liquid, 2126, Sniper, Jax, 8, 5, 10, 235.0, River, Jarvan IV, 1, 5, 25, 198.0, Quid, Taliyah, 8, 2, 18, 374.0, Meech, Kai'Sa, 9, 4, 13, 318.0, Eyla, Nautilus, 2, 1, 20, 31.0, 9.0, 3.0, 1.0, 2.0, 1, 1, 0.0
LOLTMNT01_75269, LCS, Spring, 1, C, 3, 100 Thieves, Team Liquid, 2371, Sniper, Renekton, 4, 5, 9, 294.0, River, Xin Zhao, 3, 10, 11, 201.0, Quid, Veigar, 6, 4, 11, 350.0, Meech, Kai'Sa, 6, 4, 8, 292.0, Eyla, Nautilus, 1, 7, 13, 40.0, 4.0, 4.0, 0.0, 1.0, 0, 0, 0.0
LOLTMNT01_74914, LCS, Spring, 1, C, 4, 100 Thieves, Team Liquid, 1711, Sniper, Renekton, 4, 4, 4, 243.0, River, Taliyah, 1, 5, 1, 179.0, Quid, Yone, 3, 4, 4, 252.0, Meech, Aphelios, 2, 5, 4, 229.0, Eyla, Renata Glasc, 0, 5, 3, 40.0, 3.0, 1.0, 1.0, 0.0, 0, 0, 1.0
