gameid, league, split, playoffs, series_num, game_num, ego_team, opp_team, gamelength, top_player, top_champion, top_primary_kills, top_primary_deaths, top_primary_assists, top_primary_total_cs, jgl_player, jgl_champion, jgl_primary_kills, jgl_primary_deaths, jgl_primary_assists, jgl_primary_total_cs, mid_player, mid_champion, mid_primary_kills, mid_primary_deaths, mid_primary_assists, mid_primary_total_cs, bot_player, bot_champion, bot_primary_kills, bot_primary_deaths, bot_primary_assists, bot_primary_total_cs, sup_player, sup_champion, sup_primary_kills, sup_primary_deaths, sup_primary_assists, sup_primary_total_cs, constant_turrets, constant_dragons, constant_heralds, constant_barons, constant_win, constant_win_under_30, constant_first_blood
LOLTMNT01_34186, LCS, Spring, 0, A, 1, 100 Thieves, Team Liquid, 2095, Sniper, Riven, 2, 3, 5, 303.0, River, Vi, 4, 2, 10, 219.0, Quid, Yone, 5, 0, 4, 337.0, Meech, Seraphine, 4, 1, 7, 259.0, Eyla, Karma, 1, 2, 10, 87.0, 9.0, 2.0, 0.0, 0.0, 1, 1, 0.0
LOLTMNT01_34408, LCS, Spring, 0, B, 1, 100 Thieves, Cloud9, 1811, Sniper, Gwen, 1, 2, 2, 274.0, River, Nocturne, 2, 5, 2, 184.0, Quid, Neeko, 1, 2, 2, 253.0, Meech, Senna, 0, 5, 4, 116.0, Eyla, Nautilus, 1, 5, 3, 168.0, 1.0, 0.0, 0.0, 0.0, 0, 0, 0.0
LOLTMNT01_36609, LCS, Spring, 0, C, 1, 100 Thieves, NRG Kia, 2321, Sniper, K'Sante, 4, 2, 1, 287.0, River, Sejuani, 2, 2, 7, 246.0, Quid, Akali, 2, 6, 4, 297.0, Meech, Varus, 6, 4, 1, 322.0, Eyla, Rakan, 1, 4, 8, 55.0, 3.0, 2.0, 1.0, 0.0, 0, 0, 1.0
LOLTMNT01_36899, LCS, Spring, 0, D, 1, 100 Thieves, Dignitas, 2198, Sniper, K'Sante, 3, 3, 9, 239.0, River, Trundle, 3, 4, 16, 210.0, Quid, Azir, 6, 4, 11, 338.0, Meech, Varus, 7, 3, 10, 293.0, Eyla, Senna, 4, 4, 17, 66.0, 9.0, 4.0, 0.0, 1.0, 1, 1, 1.0
LOLTMNT01_44462, LCS, Spring, 0, E, 1, 100 Thieves, FlyQuest, 1595, Sniper, Aatrox, 2, 2, 1, 231.0, River, Viego, 1, 3, 0, 154.0, Quid, Sylas, 1, 5, 1, 202.0, Meech, Kalista, 1, 4, 1, 225.0, Eyla, Renata Glasc, 0, 5, 2, 38.0, 1.0, 0.0, 1.0, 0.0, 0, 0, 1.0
LOLTMNT01_45259, LCS, Spring, 0, F, 1, 100 Thieves, Immortals, 1989, Sniper, K'Sante, 4, 2, 5, 262.0, River, Poppy, 3, 1, 12, 129.0, Quid, Orianna, 5, 1, 13, 308.0, Meech, Aphelios, 5, 1, 9, 290.0, Eyla, Milio, 1, 3, 17, 43.0, 7.0, 3.0, 0.0, 1.0, 1, 1, 0.0
LOLTMNT01_48005, LCS, Spring, 0, G, 1, 100 Thieves, Shopify Rebellion, 1714, Sniper, Olaf, 4, 4, 8, 256.0, River, Lillia, 7, 3, 9, 256.0, Quid, Aatrox, 5, 2, 12, 239.0, Meech, Senna, 6, 1, 14, 45.0, Eyla, Tahm Kench, 1, 3, 17, 150.0, 10.0, 4.0, 0.0, 1.0, 1, 1, 0.0
LOLTMNT02_43475, LCS, Spring, 0, H, 1, 100 Thieves, Team Liquid, 1930, Sniper, Aatrox, 4, 4, 8, 250.0, River, Vi, 0, 4, 14, 165.0, Quid, Taliyah, 9, 2, 8, 279.0, Meech, Varus, 7, 1, 8, 272.0, Eyla, Alistar, 0, 3, 16, 30.0, 8.0, 1.0, 0.0, 1.0, 1, 1, 1.0
LOLTMNT02_45768, LCS, Spring, 0, I, 1, 100 Thieves, Cloud9, 2761, Sniper, Aatrox, 5, 5, 7, 388.0, River, Vi, 3, 6, 10, 222.0, Quid, Taliyah, 7, 4, 7, 492.0, Meech, Varus, 6, 4, 10, 368.0, Eyla, Milio, 0, 3, 18, 38.0, 8.0, 4.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT03_44588, LCS, Spring, 0, J, 1, 100 Thieves, Dignitas, 2023, Sniper, Renekton, 5, 5, 4, 279.0, River, Trundle, 5, 1, 8, 170.0, Quid, Hwei, 4, 2, 10, 322.0, Meech, Senna, 6, 0, 11, 66.0, Eyla, Tahm Kench, 0, 1, 16, 214.0, 10.0, 2.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT03_47135, LCS, Spring, 0, K, 1, 100 Thieves, FlyQuest, 1821, Sniper, Renekton, 1, 7, 2, 217.0, River, Trundle, 0, 3, 8, 157.0, Quid, Karma, 2, 3, 1, 255.0, Meech, Kai'Sa, 5, 5, 1, 246.0, Eyla, Nautilus, 1, 4, 6, 32.0, 2.0, 2.0, 1.0, 0.0, 0, 0, 1.0
