gameid, league, split, playoffs, series_num, game_num, ego_team, opp_team, gamelength, top_player, top_champion, top_primary_kills, top_primary_deaths, top_primary_assists, top_primary_total_cs, jgl_player, jgl_champion, jgl_primary_kills, jgl_primary_deaths, jgl_primary_assists, jgl_primary_total_cs, mid_player, mid_champion, mid_primary_kills, mid_primary_deaths, mid_primary_assists, mid_primary_total_cs, bot_player, bot_champion, bot_primary_kills, bot_primary_deaths, bot_primary_assists, bot_primary_total_cs, sup_player, sup_champion, sup_primary_kills, sup_primary_deaths, sup_primary_assists, sup_primary_total_cs, constant_turrets, constant_dragons, constant_heralds, constant_barons, constant_win, constant_win_under_30, constant_first_blood
LOLTMNT03_136527, LCS, Summer, 1, A, 1, 100 Thieves, Dignitas, 1755, Sniper, Renekton, 1, 0, 4, 232.0, River, Viego, 4, 3, 7, 195.0, Quid, Azir, 5, 1, 1, 317.0, Tomo, Miss Fortune, 4, 0, 7, 297.0, Eyla, Nautilus, 0, 2, 8, 31.0, 11.0, 2.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT03_135537, LCS, Summer, 1, A, 2, 100 Thieves, Dignitas, 1612, Sniper, Jax, 5, 0, 1, 207.0, River, Lillia, 4, 1, 4, 196.0, Quid, Smolder, 6, 2, 7, 273.0, Tomo, Xayah, 0, 0, 7, 271.0, Eyla, Rakan, 0, 2, 10, 37.0, 10.0, 1.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT03_135590, LCS, Summer, 1, A, 3, 100 Thieves, Dignitas, 1318, Sniper, K'Sante, 2, 0, 7, 190.0, River, Lillia, 4, 0, 12, 164.0, Quid, Zeri, 8, 1, 4, 276.0, Tomo, Senna, 5, 0, 10, 39.0, Eyla, Nautilus, 1, 3, 12, 161.0, 10.0, 1.0, 1.0, 0.0, 1, 1, 1.0
LOLTMNT03_140088, LCS, Summer, 1, B, 1, 100 Thieves, Team Liquid, 1639, Sniper, Renekton, 1, 8, 1, 166.0, River, Maokai, 2, 4, 5, 115.0, Quid, Smolder, 0, 2, 4, 294.0, Tomo, Varus, 4, 5, 1, 227.0, Eyla, Rell, 0, 6, 7, 30.0, 0.0, 1.0, 0.0, 0.0, 0, 0, 0.0
LOLTMNT03_139277, LCS, Summer, 1, B, 2, 100 Thieves, Team Liquid, 1869, Sniper, Jax, 3, 9, 2, 181.0, River, Zyra, 2, 4, 9, 197.0, Quid, Smolder, 7, 4, 3, 289.0, Tomo, Miss Fortune, 2, 6, 6, 278.0, Eyla, Nautilus, 0, 5, 8, 35.0, 3.0, 1.0, 1.0, 0.0, 0, 0, 1.0
LOLTMNT03_140113, LCS, Summer, 1, B, 3, 100 Thieves, Team Liquid, 1462, Sniper, Renekton, 0, 3, 0, 128.0, River, Ivern, 0, 3, 5, 106.0, Quid, Zeri, 3, 4, 0, 262.0, Tomo, Smolder, 2, 4, 2, 198.0, Eyla, Leona, 1, 3, 2, 31.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0
LOLTMNT03_144032, LCS, Summer, 1, C, 1, 100 Thieves, Dignitas, 1561, Sniper, K'Sante, 0, 2, 2, 162.0, River, Nocturne, 6, 3, 1, 177.0, Quid, Sylas, 3, 1, 2, 212.0, Tomo, Ziggs, 0, 3, 7, 211.0, Eyla, Rell, 1, 3, 7, 34.0, 4.0, 1.0, 1.0, 0.0, 0, 0, 1.0
LOLTMNT03_143913, LCS, Summer, 1, C, 2, 100 Thieves, Dignitas, 1654, Sniper, Renekton, 4, 3, 3, 202.0, River, Amumu, 4, 2, 9, 163.0, Quid, Yone, 9, 1, 4, 270.0, Tomo, Miss Fortune, 2, 1, 10, 273.0, Eyla, Rell, 1, 1, 14, 35.0, 8.0, 2.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT03_144051, LCS, Summer, 1, C, 3, 100 Thieves, Dignitas, 1900, Sniper, Olaf, 1, 4, 0, 186.0, River, Jarvan IV, 1, 8, 3, 171.0, Quid, Azir, 1, 3, 3, 357.0, Tomo, Miss Fortune, 2, 3, 0, 273.0, Eyla, Rell, 1, 5, 3, 32.0, 5.0, 1.0, 1.0, 1.0, 0, 0, 0.0
LOLTMNT03_144058, LCS, Summer, 1, C, 4, 100 Thieves, Dignitas, 2122, Sniper, Camille, 3, 6, 7, 242.0, River, Amumu, 5, 3, 8, 218.0, Quid, Yone, 6, 2, 5, 347.0, Tomo, Ziggs, 4, 3, 12, 295.0, Eyla, Nautilus, 2, 2, 12, 39.0, 10.0, 2.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT03_144069, LCS, Summer, 1, C, 5, 100 Thieves, Dignitas, 1820, Sniper, Renekton, 3, 4, 6, 209.0, River, Lillia, 4, 0, 8, 260.0, Quid, Yasuo, 5, 0, 8, 275.0, Tomo, Kai'Sa, 5, 0, 9, 301.0, Eyla, Rell, 0, 1, 13, 35.0, 10.0, 4.0, 0.0, 1.0, 1, 1, 1.0
LOLTMNT03_145732, LCS, Summer, 1, D, 1, 100 Thieves, Cloud9, 1934, Sniper, K'Sante, 3, 1, 6, 229.0, River, Maokai, 3, 1, 12, 171.0, Quid, Corki, 6, 3, 6, 324.0, Tomo, Ziggs, 3, 1, 11, 288.0, Eyla, Rell, 0, 2, 15, 37.0, 11.0, 1.0, 0.0, 1.0, 1, 1, 0.0
LOLTMNT03_144844, LCS, Summer, 1, D, 2, 100 Thieves, Cloud9, 1752, Sniper, Renekton, 1, 3, 0, 220.0, River, Vi, 1, 6, 3, 201.0, Quid, Garen, 2, 3, 0, 271.0, Tomo, Ziggs, 0, 2, 2, 293.0, Eyla, Nautilus, 0, 3, 3, 32.0, 4.0, 0.0, 0.0, 0.0, 0, 0, 0.0
LOLTMNT03_144845, LCS, Summer, 1, D, 3, 100 Thieves, Cloud9, 1953, Sniper, Renekton, 4, 0, 5, 229.0, River, Maokai, 1, 3, 10, 166.0, Quid, Zeri, 3, 1, 6, 340.0, Tomo, Ziggs, 4, 0, 5, 300.0, Eyla, Rell, 0, 5, 11, 35.0, 11.0, 2.0, 1.0, 1.0, 1, 1, 0.0
LOLTMNT03_144846, LCS, Summer, 1, D, 4, 100 Thieves, Cloud9, 1752, Sniper, Renekton, 3, 2, 9, 175.0, River, Sejuani, 1, 2, 15, 171.0, Quid, Yone, 2, 1, 11, 273.0, Tomo, Kai'Sa, 11, 0, 4, 302.0, Eyla, Rell, 0, 0, 16, 37.0, 9.0, 4.0, 1.0, 1.0, 1, 1, 1.0
