gameid, league, split, playoffs, series_num, game_num, ego_team, opp_team, gamelength, top_player, top_champion, top_primary_kills, top_primary_deaths, top_primary_assists, top_primary_total_cs, jgl_player, jgl_champion, jgl_primary_kills, jgl_primary_deaths, jgl_primary_assists, jgl_primary_total_cs, mid_player, mid_champion, mid_primary_kills, mid_primary_deaths, mid_primary_assists, mid_primary_total_cs, bot_player, bot_champion, bot_primary_kills, bot_primary_deaths, bot_primary_assists, bot_primary_total_cs, sup_player, sup_champion, sup_primary_kills, sup_primary_deaths, sup_primary_assists, sup_primary_total_cs, constant_turrets, constant_dragons, constant_heralds, constant_barons, constant_win, constant_win_under_30, constant_first_blood
LOLTMNT02_105970, LCS, Summer, 0, A, 1, 100 Thieves, NRG Kia, 1705, Sniper, Renekton, 3, 2, 6, 189.0, River, Taliyah, 1, 4, 10, 196.0, Quid, Ezreal, 10, 1, 7, 289.0, Meech, Kai'Sa, 9, 3, 5, 224.0, Eyla, Nautilus, 1, 4, 20, 28.0, 10.0, 1.0, 0.0, 1.0, 1, 1, 1.0
LOLTMNT02_106132, LCS, Summer, 0, A, 2, 100 Thieves, NRG Kia, 1451, Sniper, Camille, 1, 1, 7, 162.0, River, Zyra, 1, 0, 8, 184.0, Quid, Tristana, 4, 0, 6, 269.0, Meech, Jinx, 6, 0, 5, 221.0, Eyla, Leona, 2, 0, 9, 26.0, 10.0, 2.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT02_112875, LCS, Summer, 0, B, 1, 100 Thieves, Dignitas, 2033, Sniper, Camille, 4, 6, 2, 295.0, River, Karthus, 5, 5, 3, 271.0, Quid, Yone, 0, 4, 4, 338.0, Meech, Senna, 1, 3, 7, 44.0, Eyla, Sion, 3, 2, 3, 257.0, 9.0, 3.0, 1.0, 0.0, 0, 0, 0.0
LOLTMNT02_112899, LCS, Summer, 0, B, 2, 100 Thieves, Dignitas, 1942, Sniper, K'Sante, 1, 4, 2, 210.0, River, Vi, 4, 6, 5, 196.0, Quid, Taliyah, 5, 6, 3, 277.0, Meech, Ashe, 5, 3, 4, 278.0, Eyla, Braum, 0, 6, 14, 33.0, 2.0, 2.0, 0.0, 1.0, 0, 0, 0.0
LOLTMNT02_123083, LCS, Summer, 0, C, 1, 100 Thieves, Team Liquid, 2434, Sniper, Skarner, 1, 4, 5, 223.0, River, Brand, 5, 1, 5, 262.0, Quid, Ezreal, 4, 7, 7, 369.0, Meech, Aphelios, 2, 3, 6, 366.0, Eyla, Leona, 0, 9, 7, 42.0, 5.0, 2.0, 0.0, 1.0, 0, 0, 0.0
LOLTMNT02_124086, LCS, Summer, 0, C, 2, 100 Thieves, Team Liquid, 1726, Sniper, Renekton, 0, 7, 1, 185.0, River, Zyra, 1, 4, 2, 188.0, Quid, Ezreal, 3, 1, 0, 250.0, Meech, Ashe, 0, 4, 3, 233.0, Eyla, Seraphine, 0, 2, 2, 40.0, 2.0, 1.0, 1.0, 0.0, 0, 0, 1.0
LOLTMNT01_147713, LCS, Summer, 0, D, 1, 100 Thieves, Cloud9, 1810, Sniper, K'Sante, 1, 3, 1, 213.0, River, Poppy, 1, 4, 2, 155.0, Quid, Azir, 0, 3, 2, 278.0, Meech, Kai'Sa, 2, 2, 0, 289.0, Eyla, Leona, 0, 4, 3, 37.0, 2.0, 1.0, 0.0, 0.0, 0, 0, 1.0
LOLTMNT01_146686, LCS, Summer, 0, D, 2, 100 Thieves, Cloud9, 1562, Sniper, K'Sante, 0, 4, 1, 200.0, River, Brand, 3, 7, 3, 148.0, Quid, Corki, 3, 3, 4, 240.0, Meech, Ashe, 2, 5, 4, 205.0, Eyla, Nautilus, 1, 5, 7, 27.0, 3.0, 1.0, 0.0, 0.0, 0, 0, 0.0
LOLTMNT01_154041, LCS, Summer, 0, E, 1, 100 Thieves, FlyQuest, 1950, Sniper, Jax, 8, 1, 3, 267.0, River, Brand, 2, 3, 9, 197.0, Quid, Zeri, 3, 2, 11, 323.0, Meech, Jhin, 4, 1, 8, 307.0, Eyla, Nautilus, 0, 3, 12, 46.0, 8.0, 2.0, 0.0, 1.0, 1, 1, 1.0
LOLTMNT01_153175, LCS, Summer, 0, E, 2, 100 Thieves, FlyQuest, 1869, Sniper, Camille, 1, 5, 0, 255.0, River, Nidalee, 2, 0, 1, 215.0, Quid, Zeri, 0, 2, 1, 307.0, Meech, Jhin, 1, 5, 3, 251.0, Eyla, Nautilus, 0, 4, 2, 38.0, 5.0, 0.0, 1.0, 0.0, 0, 0, 0.0
