gameid, league, split, playoffs, series_num, game_num, ego_team, opp_team, gamelength, top_player, top_champion, top_primary_kills, top_primary_deaths, top_primary_assists, top_primary_total_cs, jgl_player, jgl_champion, jgl_primary_kills, jgl_primary_deaths, jgl_primary_assists, jgl_primary_total_cs, mid_player, mid_champion, mid_primary_kills, mid_primary_deaths, mid_primary_assists, mid_primary_total_cs, bot_player, bot_champion, bot_primary_kills, bot_primary_deaths, bot_primary_assists, bot_primary_total_cs, sup_player, sup_champion, sup_primary_kills, sup_primary_deaths, sup_primary_assists, sup_primary_total_cs, constant_turrets, constant_dragons, constant_heralds, constant_barons, constant_win, constant_win_under_30, constant_first_blood
LOLTMNT02_57111, LJL, Spring, 1, A, 1, Fukuoka SoftBank HAWKS gaming, Sengoku Gaming, 1806, Evi, Smolder, 7, 3, 4, 271.0, Forest, Viego, 2, 1, 10, 198.0, DasheR, Taliyah, 7, 0, 10, 307.0, Marble, Kai'Sa, 3, 0, 12, 316.0, Vsta, Nautilus, 0, 4, 13, 30.0, 11.0, 4.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT02_57149, LJL, Spring, 1, A, 2, Fukuoka SoftBank HAWKS gaming, Sengoku Gaming, 1529, Evi, Smolder, 5, 2, 8, 246.0, Forest, Lee Sin, 3, 1, 12, 175.0, DasheR, Hwei, 7, 0, 14, 226.0, Marble, Kai'Sa, 7, 0, 5, 245.0, Vsta, Nautilus, 0, 2, 10, 34.0, 11.0, 4.0, 1.0, 1.0, 1, 1, 0.0
LOLTMNT02_56217, LJL, Spring, 1, A, 3, Fukuoka SoftBank HAWKS gaming, Sengoku Gaming, 1577, Evi, Aatrox, 5, 3, 7, 194.0, Forest, Vi, 3, 4, 14, 174.0, DasheR, Taliyah, 10, 1, 9, 266.0, Marble, Senna, 4, 0, 17, 40.0, Vsta, Maokai, 2, 3, 17, 157.0, 10.0, 3.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT02_63440, LJL, Spring, 1, B, 1, Fukuoka SoftBank HAWKS gaming, DetonatioN FocusMe, 1885, Evi, K'Sante, 2, 2, 6, 223.0, Forest, Viego, 0, 3, 5, 210.0, DasheR, Taliyah, 6, 2, 8, 298.0, Marble, Senna, 5, 1, 9, 68.0, Vsta, Nautilus, 2, 0, 11, 217.0, 10.0, 4.0, 1.0, 2.0, 1, 1, 1.0
LOLTMNT02_63466, LJL, Spring, 1, B, 2, Fukuoka SoftBank HAWKS gaming, DetonatioN FocusMe, 1824, Evi, Aatrox, 2, 4, 7, 251.0, Forest, Lee Sin, 4, 3, 8, 170.0, DasheR, Azir, 4, 0, 4, 314.0, Marble, Senna, 4, 0, 8, 61.0, Vsta, Nautilus, 0, 0, 10, 216.0, 10.0, 2.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT02_63468, LJL, Spring, 1, B, 3, Fukuoka SoftBank HAWKS gaming, DetonatioN FocusMe, 2029, Evi, Akali, 4, 3, 5, 228.0, Forest, Poppy, 5, 4, 16, 169.0, DasheR, Hwei, 11, 1, 12, 297.0, Marble, Smolder, 4, 3, 9, 284.0, Vsta, Pyke, 4, 4, 12, 54.0, 7.0, 3.0, 0.0, 1.0, 1, 1, 1.0
LOLTMNT01_75778, PCS, Spring, 1, C, 1, Fukuoka SoftBank HAWKS gaming, PSG Talon, 1884, Evi, Ornn, 0, 5, 3, 232.0, Forest, Graves, 1, 6, 4, 215.0, DasheR, Taliyah, 0, 4, 5, 311.0, Marble, Senna, 3, 3, 1, 54.0, Vsta, Nautilus, 1, 5, 4, 243.0, 2.0, 2.0, 1.0, 0.0, 0, 0, 1.0
LOLTMNT01_76431, PCS, Spring, 1, C, 2, Fukuoka SoftBank HAWKS gaming, PSG Talon, 2018, Evi, Renekton, 5, 3, 4, 230.0, Forest, Sejuani, 4, 2, 10, 207.0, DasheR, Orianna, 2, 0, 10, 274.0, Marble, Senna, 4, 2, 11, 52.0, Vsta, Yasuo, 2, 2, 10, 287.0, 11.0, 3.0, 1.0, 2.0, 1, 1, 0.0
LOLTMNT01_76438, PCS, Spring, 1, C, 3, Fukuoka SoftBank HAWKS gaming, PSG Talon, 1429, Evi, K'Sante, 1, 2, 2, 171.0, Forest, Taliyah, 1, 4, 1, 166.0, DasheR, Tristana, 1, 1, 1, 215.0, Marble, Zeri, 1, 2, 1, 224.0, Vsta, Nautilus, 0, 3, 2, 24.0, 2.0, 1.0, 1.0, 0.0, 0, 0, 0.0
LOLTMNT01_76449, PCS, Spring, 1, C, 4, Fukuoka SoftBank HAWKS gaming, PSG Talon, 1822, Evi, Renekton, 6, 1, 7, 248.0, Forest, Sejuani, 1, 2, 16, 184.0, DasheR, Taliyah, 4, 0, 14, 299.0, Marble, Smolder, 9, 0, 6, 305.0, Vsta, Nautilus, 0, 4, 10, 27.0, 11.0, 4.0, 0.0, 1.0, 1, 1, 0.0
