gameid, league, split, playoffs, series_num, game_num, ego_team, opp_team, gamelength, top_player, top_champion, top_primary_kills, top_primary_deaths, top_primary_assists, top_primary_total_cs, jgl_player, jgl_champion, jgl_primary_kills, jgl_primary_deaths, jgl_primary_assists, jgl_primary_total_cs, mid_player, mid_champion, mid_primary_kills, mid_primary_deaths, mid_primary_assists, mid_primary_total_cs, bot_player, bot_champion, bot_primary_kills, bot_primary_deaths, bot_primary_assists, bot_primary_total_cs, sup_player, sup_champion, sup_primary_kills, sup_primary_deaths, sup_primary_assists, sup_primary_total_cs, constant_turrets, constant_dragons, constant_heralds, constant_barons, constant_win, constant_win_under_30, constant_first_blood
LOLTMNT02_25146, LJL, Spring, 0, A, 1, Fukuoka SoftBank HAWKS gaming, DetonatioN FocusMe, 2393, Evi, K'Sante, 4, 1, 4, 293.0, Forest, Rell, 0, 6, 11, 169.0, DasheR, Orianna, 4, 3, 9, 347.0, Marble, Xayah, 4, 2, 8, 377.0, Vsta, Rakan, 2, 2, 11, 30.0, 8.0, 2.0, 1.0, 2.0, 0, 0, 0.0
LOLTMNT02_25183, LJL, Spring, 0, A, 2, Fukuoka SoftBank HAWKS gaming, DetonatioN FocusMe, 2233, Evi, K'Sante, 2, 5, 4, 280.0, Forest, Rell, 0, 4, 8, 182.0, DasheR, Taliyah, 6, 5, 3, 314.0, Marble, Xayah, 6, 2, 4, 386.0, Vsta, Rakan, 2, 5, 11, 33.0, 6.0, 2.0, 1.0, 1.0, 0, 0, 1.0
LOLTMNT02_26642, LJL, Spring, 0, B, 1, Fukuoka SoftBank HAWKS gaming, V3 Esports, 1613, Evi, Rumble, 3, 2, 6, 195.0, Forest, Vi, 5, 3, 3, 203.0, DasheR, Viktor, 7, 0, 9, 260.0, Marble, Jhin, 8, 2, 9, 227.0, Vsta, Neeko, 1, 2, 12, 24.0, 11.0, 4.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT02_25665, LJL, Spring, 0, B, 2, Fukuoka SoftBank HAWKS gaming, V3 Esports, 1584, Evi, K'Sante, 4, 1, 13, 196.0, Forest, Sejuani, 1, 2, 13, 138.0, DasheR, Azir, 8, 3, 8, 264.0, Marble, Lucian, 8, 2, 8, 251.0, Vsta, Milio, 0, 2, 16, 37.0, 9.0, 4.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT02_31980, LJL, Spring, 0, C, 1, Fukuoka SoftBank HAWKS gaming, Burning Core Toyama, 1376, Evi, Rumble, 5, 0, 5, 209.0, Forest, Maokai, 3, 1, 11, 129.0, DasheR, Jayce, 6, 3, 3, 217.0, Marble, Lucian, 5, 0, 6, 218.0, Vsta, Nami, 0, 1, 13, 52.0, 9.0, 2.0, 1.0, 0.0, 1, 1, 1.0
LOLTMNT02_34011, LJL, Spring, 0, C, 2, Fukuoka SoftBank HAWKS gaming, Burning Core Toyama, 1748, Evi, Aatrox, 3, 3, 9, 211.0, Forest, Rell, 3, 2, 13, 183.0, DasheR, LeBlanc, 3, 2, 4, 277.0, Marble, Varus, 11, 3, 5, 297.0, Vsta, Renata Glasc, 1, 2, 18, 27.0, 11.0, 4.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT02_34502, LJL, Spring, 0, D, 1, Fukuoka SoftBank HAWKS gaming, Sengoku Gaming, 1861, Evi, Rumble, 1, 1, 5, 241.0, Forest, Vi, 4, 0, 8, 200.0, DasheR, Viktor, 3, 1, 7, 288.0, Marble, Aphelios, 5, 2, 2, 300.0, Vsta, Milio, 2, 0, 13, 29.0, 9.0, 4.0, 1.0, 1.0, 1, 1, 0.0
LOLTMNT02_34515, LJL, Spring, 0, D, 2, Fukuoka SoftBank HAWKS gaming, Sengoku Gaming, 1903, Evi, Rumble, 2, 1, 7, 281.0, Forest, Rell, 2, 3, 8, 192.0, DasheR, Jayce, 4, 2, 7, 269.0, Marble, Xayah, 1, 0, 6, 327.0, Vsta, Rakan, 3, 0, 7, 42.0, 9.0, 2.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT01_44689, LJL, Spring, 0, E, 1, Fukuoka SoftBank HAWKS gaming, AXIZ CREST, 2204, Evi, Jax, 3, 6, 3, 248.0, Forest, Sejuani, 2, 5, 8, 187.0, DasheR, Azir, 3, 6, 4, 318.0, Marble, Lucian, 5, 2, 3, 324.0, Vsta, Milio, 0, 3, 11, 24.0, 2.0, 1.0, 1.0, 0.0, 0, 0, 0.0
LOLTMNT01_43735, LJL, Spring, 0, E, 2, Fukuoka SoftBank HAWKS gaming, AXIZ CREST, 1890, Evi, Yone, 3, 1, 2, 304.0, Forest, Rell, 0, 2, 8, 179.0, DasheR, LeBlanc, 4, 0, 2, 335.0, Marble, Xayah, 1, 0, 0, 341.0, Vsta, Rakan, 0, 1, 6, 39.0, 11.0, 3.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT01_45496, LJL, Spring, 0, F, 1, Fukuoka SoftBank HAWKS gaming, DetonatioN FocusMe, 1596, Evi, Rumble, 1, 3, 0, 224.0, Forest, Sejuani, 0, 3, 0, 150.0, DasheR, Jayce, 0, 3, 1, 227.0, Marble, Aphelios, 0, 5, 0, 201.0, Vsta, Milio, 0, 2, 0, 28.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 1.0
LOLTMNT01_45533, LJL, Spring, 0, F, 2, Fukuoka SoftBank HAWKS gaming, DetonatioN FocusMe, 2027, Evi, K'Sante, 4, 2, 5, 264.0, Forest, Lee Sin, 2, 2, 11, 193.0, DasheR, Corki, 5, 1, 5, 316.0, Marble, Jhin, 4, 4, 12, 278.0, Vsta, Neeko, 3, 6, 7, 39.0, 8.0, 2.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT01_52613, LJL, Spring, 0, G, 1, Fukuoka SoftBank HAWKS gaming, V3 Esports, 1603, Evi, Rumble, 7, 1, 10, 210.0, Forest, Jarvan IV, 2, 3, 24, 163.0, DasheR, Sylas, 12, 1, 7, 264.0, Marble, Senna, 6, 0, 17, 39.0, Vsta, Tahm Kench, 0, 1, 22, 165.0, 9.0, 3.0, 0.0, 1.0, 1, 1, 1.0
LOLTMNT01_51852, LJL, Spring, 0, G, 2, Fukuoka SoftBank HAWKS gaming, V3 Esports, 1415, Evi, Akali, 5, 3, 1, 218.0, Forest, Maokai, 1, 2, 13, 139.0, DasheR, Tristana, 7, 0, 5, 242.0, Marble, Xayah, 2, 0, 5, 246.0, Vsta, Rakan, 1, 2, 11, 35.0, 11.0, 3.0, 1.0, 1.0, 1, 1, 0.0
LOLTMNT01_53130, LJL, Spring, 0, H, 1, Fukuoka SoftBank HAWKS gaming, Burning Core Toyama, 1642, Evi, K'Sante, 3, 2, 8, 232.0, Forest, Lee Sin, 7, 1, 5, 186.0, DasheR, Orianna, 5, 1, 10, 270.0, Marble, Senna, 0, 1, 13, 33.0, Vsta, Yasuo, 2, 1, 10, 238.0, 10.0, 4.0, 1.0, 1.0, 1, 1, 0.0
LOLTMNT01_52912, LJL, Spring, 0, H, 2, Fukuoka SoftBank HAWKS gaming, Burning Core Toyama, 1994, Evi, Gnar, 2, 3, 4, 251.0, Forest, Jarvan IV, 1, 5, 11, 177.0, DasheR, Taliyah, 4, 2, 8, 306.0, Marble, Senna, 4, 1, 7, 56.0, Vsta, Nautilus, 3, 1, 9, 211.0, 8.0, 1.0, 1.0, 1.0, 1, 1, 0.0
LOLTMNT01_59407, LJL, Spring, 0, I, 1, Fukuoka SoftBank HAWKS gaming, Sengoku Gaming, 1741, Evi, Zac, 2, 5, 14, 200.0, Forest, Rell, 0, 3, 16, 157.0, DasheR, Azir, 11, 1, 7, 307.0, Marble, Draven, 5, 2, 10, 264.0, Vsta, Ashe, 4, 3, 13, 54.0, 9.0, 3.0, 0.0, 1.0, 1, 1, 1.0
LOLTMNT01_59435, LJL, Spring, 0, I, 2, Fukuoka SoftBank HAWKS gaming, Sengoku Gaming, 1440, Evi, Twisted Fate, 5, 0, 2, 246.0, Forest, Lee Sin, 3, 1, 7, 147.0, DasheR, Hwei, 2, 0, 9, 208.0, Marble, Kalista, 6, 0, 6, 217.0, Vsta, Maokai, 2, 2, 11, 27.0, 10.0, 4.0, 0.0, 1.0, 1, 1, 1.0
LOLTMNT01_59617, LJL, Spring, 0, J, 1, Fukuoka SoftBank HAWKS gaming, AXIZ CREST, 1494, Evi, K'Sante, 0, 0, 8, 184.0, Forest, Lee Sin, 4, 1, 5, 192.0, DasheR, Viktor, 4, 1, 5, 229.0, Marble, Varus, 5, 0, 6, 227.0, Vsta, Nautilus, 0, 1, 9, 36.0, 11.0, 3.0, 0.0, 1.0, 1, 1, 0.0
LOLTMNT01_59621, LJL, Spring, 0, J, 2, Fukuoka SoftBank HAWKS gaming, AXIZ CREST, 1419, Evi, Aatrox, 8, 0, 7, 173.0, Forest, Lee Sin, 7, 2, 10, 163.0, DasheR, Hwei, 1, 1, 14, 198.0, Marble, Kalista, 8, 0, 7, 248.0, Vsta, Rell, 0, 0, 20, 33.0, 9.0, 2.0, 1.0, 1.0, 1, 1, 1.0
