gameid, league, split, playoffs, series_num, game_num, ego_team, opp_team, gamelength, top_player, top_champion, top_primary_kills, top_primary_deaths, top_primary_assists, top_primary_total_cs, jgl_player, jgl_champion, jgl_primary_kills, jgl_primary_deaths, jgl_primary_assists, jgl_primary_total_cs, mid_player, mid_champion, mid_primary_kills, mid_primary_deaths, mid_primary_assists, mid_primary_total_cs, bot_player, bot_champion, bot_primary_kills, bot_primary_deaths, bot_primary_assists, bot_primary_total_cs, sup_player, sup_champion, sup_primary_kills, sup_primary_deaths, sup_primary_assists, sup_primary_total_cs, constant_turrets, constant_dragons, constant_heralds, constant_barons, constant_win, constant_win_under_30, constant_first_blood
LOLTMNT03_130474, LJL, Summer, 1, A, 1, Fukuoka SoftBank HAWKS gaming, DetonatioN FocusMe, 2782, Evi, Gnar, 2, 7, 8, 361.0, Forest, Sejuani, 2, 8, 15, 251.0, DasheR, Lucian, 11, 4, 10, 410.0, Marble, Miss Fortune, 9, 1, 11, 439.0, Vsta, Leona, 2, 6, 14, 38.0, 9.0, 3.0, 0.0, 2.0, 0, 0, 1.0
LOLTMNT03_130486, LJL, Summer, 1, A, 2, Fukuoka SoftBank HAWKS gaming, DetonatioN FocusMe, 1840, Evi, Kennen, 6, 2, 8, 222.0, Forest, Sejuani, 1, 4, 11, 163.0, DasheR, Lucian, 10, 1, 9, 319.0, Marble, Miss Fortune, 6, 3, 14, 283.0, Vsta, Leona, 3, 5, 13, 21.0, 9.0, 3.0, 1.0, 2.0, 1, 1, 1.0
LOLTMNT03_129517, LJL, Summer, 1, A, 3, Fukuoka SoftBank HAWKS gaming, DetonatioN FocusMe, 1617, Evi, Poppy, 4, 4, 9, 165.0, Forest, Brand, 5, 1, 13, 227.0, DasheR, Corki, 10, 0, 11, 285.0, Marble, Miss Fortune, 4, 1, 14, 232.0, Vsta, Leona, 0, 3, 17, 29.0, 11.0, 4.0, 1.0, 1.0, 1, 1, 0.0
LOLTMNT03_132877, LJL, Summer, 1, B, 1, Fukuoka SoftBank HAWKS gaming, DetonatioN FocusMe, 1950, Evi, Ornn, 2, 3, 11, 222.0, Forest, Brand, 6, 0, 4, 258.0, DasheR, Corki, 4, 1, 7, 303.0, Marble, Ashe, 2, 1, 6, 323.0, Vsta, Alistar, 1, 2, 7, 32.0, 10.0, 3.0, 1.0, 2.0, 1, 1, 0.0
LOLTMNT03_132889, LJL, Summer, 1, B, 2, Fukuoka SoftBank HAWKS gaming, DetonatioN FocusMe, 2381, Evi, Kennen, 3, 4, 5, 274.0, Forest, Maokai, 2, 6, 9, 239.0, DasheR, Tristana, 8, 4, 6, 406.0, Marble, Miss Fortune, 4, 5, 8, 376.0, Vsta, Braum, 1, 6, 13, 28.0, 9.0, 4.0, 1.0, 2.0, 1, 1, 1.0
LOLTMNT03_132896, LJL, Summer, 1, B, 3, Fukuoka SoftBank HAWKS gaming, DetonatioN FocusMe, 1621, Evi, Renekton, 8, 2, 8, 217.0, Forest, Lillia, 3, 2, 13, 187.0, DasheR, Tristana, 3, 3, 11, 231.0, Marble, Kai'Sa, 5, 1, 3, 264.0, Vsta, Leona, 1, 1, 14, 37.0, 8.0, 4.0, 0.0, 0.0, 1, 1, 1.0
LOLTMNT02_159096, PCS, Summer, 1, C, 1, Fukuoka SoftBank HAWKS gaming, Deep Cross Gaming, 1526, Evi, Rek'Sai, 1, 4, 3, 172.0, Forest, Lillia, 2, 7, 2, 148.0, DasheR, Zeri, 2, 3, 4, 246.0, Marble, Smolder, 0, 3, 2, 213.0, Vsta, Rell, 1, 1, 4, 36.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0
LOLTMNT02_159099, PCS, Summer, 1, C, 2, Fukuoka SoftBank HAWKS gaming, Deep Cross Gaming, 2410, Evi, Rumble, 3, 5, 11, 244.0, Forest, Vi, 5, 7, 14, 253.0, DasheR, Orianna, 3, 4, 17, 315.0, Marble, Miss Fortune, 16, 3, 9, 372.0, Vsta, Poppy, 5, 3, 17, 40.0, 11.0, 4.0, 1.0, 2.0, 1, 1, 0.0
LOLTMNT02_158697, PCS, Summer, 1, C, 3, Fukuoka SoftBank HAWKS gaming, Deep Cross Gaming, 2157, Evi, Rumble, 10, 8, 16, 228.0, Forest, Maokai, 2, 12, 25, 167.0, DasheR, Zeri, 6, 7, 17, 298.0, Marble, Miss Fortune, 12, 7, 13, 284.0, Vsta, Blitzcrank, 2, 7, 12, 37.0, 7.0, 1.0, 0.0, 1.0, 0, 0, 1.0
LOLTMNT02_159132, PCS, Summer, 1, C, 4, Fukuoka SoftBank HAWKS gaming, Deep Cross Gaming, 1638, Evi, Kennen, 4, 2, 6, 175.0, Forest, Vi, 2, 4, 21, 177.0, DasheR, Taliyah, 15, 1, 13, 260.0, Marble, Miss Fortune, 11, 3, 13, 199.0, Vsta, Leona, 2, 3, 25, 27.0, 9.0, 3.0, 0.0, 1.0, 1, 1, 0.0
LOLTMNT02_159143, PCS, Summer, 1, C, 5, Fukuoka SoftBank HAWKS gaming, Deep Cross Gaming, 1938, Evi, Rumble, 8, 6, 13, 228.0, Forest, Maokai, 5, 2, 14, 188.0, DasheR, Corki, 10, 2, 7, 310.0, Marble, Jhin, 4, 3, 17, 261.0, Vsta, Leona, 3, 6, 14, 32.0, 9.0, 4.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT02_161067, PCS, Summer, 1, D, 1, Fukuoka SoftBank HAWKS gaming, PSG Talon, 2013, Evi, Malphite, 2, 4, 4, 211.0, Forest, Taliyah, 5, 7, 8, 249.0, DasheR, Corki, 6, 3, 8, 325.0, Marble, Ashe, 3, 5, 7, 280.0, Vsta, Leona, 0, 4, 13, 47.0, 2.0, 2.0, 0.0, 0.0, 0, 0, 0.0
LOLTMNT02_161072, PCS, Summer, 1, D, 2, Fukuoka SoftBank HAWKS gaming, PSG Talon, 2206, Evi, Gnar, 2, 4, 4, 235.0, Forest, Zyra, 1, 5, 6, 241.0, DasheR, Corki, 2, 1, 4, 377.0, Marble, Miss Fortune, 6, 1, 3, 339.0, Vsta, Alistar, 0, 3, 7, 26.0, 3.0, 3.0, 1.0, 0.0, 0, 0, 1.0
LOLTMNT02_162074, PCS, Summer, 1, D, 3, Fukuoka SoftBank HAWKS gaming, PSG Talon, 1734, Evi, Poppy, 1, 6, 3, 173.0, Forest, Taliyah, 1, 7, 4, 195.0, DasheR, Corki, 4, 3, 3, 308.0, Marble, Ashe, 1, 3, 2, 246.0, Vsta, Rell, 0, 4, 4, 42.0, 2.0, 0.0, 0.0, 0.0, 0, 0, 0.0
