gameid, league, split, playoffs, series_num, game_num, ego_team, opp_team, gamelength, top_player, top_champion, top_primary_kills, top_primary_deaths, top_primary_assists, top_primary_total_cs, jgl_player, jgl_champion, jgl_primary_kills, jgl_primary_deaths, jgl_primary_assists, jgl_primary_total_cs, mid_player, mid_champion, mid_primary_kills, mid_primary_deaths, mid_primary_assists, mid_primary_total_cs, bot_player, bot_champion, bot_primary_kills, bot_primary_deaths, bot_primary_assists, bot_primary_total_cs, sup_player, sup_champion, sup_primary_kills, sup_primary_deaths, sup_primary_assists, sup_primary_total_cs, constant_turrets, constant_dragons, constant_heralds, constant_barons, constant_win, constant_win_under_30, constant_first_blood
LOLTMNT01_111864, LJL, Summer, 0, A, 1, Fukuoka SoftBank HAWKS gaming, V3 Esports, 1589, Evi, Zac, 0, 3, 8, 186.0, Forest, Taliyah, 6, 0, 4, 220.0, DasheR, Yone, 3, 0, 6, 276.0, Marble, Kalista, 6, 2, 4, 256.0, Vsta, Rumble, 0, 2, 10, 25.0, 9.0, 3.0, 1.0, 1.0, 1, 1, 0.0
LOLTMNT01_110917, LJL, Summer, 0, A, 2, Fukuoka SoftBank HAWKS gaming, V3 Esports, 2121, Evi, Skarner, 0, 4, 18, 207.0, Forest, Brand, 9, 3, 15, 284.0, DasheR, Yone, 3, 1, 10, 369.0, Marble, Kalista, 8, 4, 13, 284.0, Vsta, Pyke, 7, 2, 11, 51.0, 10.0, 2.0, 0.0, 2.0, 1, 1, 0.0
LOLTMNT01_112590, LJL, Summer, 0, B, 1, Fukuoka SoftBank HAWKS gaming, DetonatioN FocusMe, 1839, Evi, Renekton, 0, 2, 7, 226.0, Forest, Taliyah, 8, 1, 7, 264.0, DasheR, Yone, 0, 5, 10, 274.0, Marble, Zeri, 6, 0, 7, 325.0, Vsta, Nautilus, 1, 2, 9, 42.0, 9.0, 1.0, 1.0, 1.0, 1, 1, 0.0
LOLTMNT01_113602, LJL, Summer, 0, B, 2, Fukuoka SoftBank HAWKS gaming, DetonatioN FocusMe, 1627, Evi, Ornn, 2, 2, 11, 195.0, Forest, Taliyah, 7, 0, 8, 250.0, DasheR, Yone, 2, 1, 6, 267.0, Marble, Varus, 5, 0, 5, 250.0, Vsta, Rell, 0, 0, 14, 30.0, 10.0, 2.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT01_126150, LJL, Summer, 0, C, 1, Fukuoka SoftBank HAWKS gaming, Burning Core Toyama, 1493, Evi, Zac, 2, 0, 7, 176.0, Forest, Brand, 6, 1, 12, 218.0, DasheR, Tristana, 4, 1, 6, 235.0, Marble, Ashe, 7, 0, 9, 210.0, Vsta, Leona, 0, 2, 13, 39.0, 10.0, 1.0, 1.0, 1.0, 1, 1, 0.0
LOLTMNT01_126159, LJL, Summer, 0, C, 2, Fukuoka SoftBank HAWKS gaming, Burning Core Toyama, 1678, Evi, Twisted Fate, 1, 1, 7, 210.0, Forest, Maokai, 3, 4, 7, 154.0, DasheR, Tristana, 4, 0, 3, 292.0, Marble, Zeri, 5, 1, 2, 286.0, Vsta, Rakan, 0, 1, 12, 32.0, 10.0, 1.0, 0.0, 2.0, 1, 1, 0.0
LOLTMNT01_126524, LJL, Summer, 0, D, 1, Fukuoka SoftBank HAWKS gaming, AXIZ CREST, 1812, Evi, Mordekaiser, 4, 3, 8, 234.0, Forest, Viego, 5, 4, 8, 231.0, DasheR, Taliyah, 6, 1, 5, 302.0, Marble, Kalista, 5, 1, 7, 249.0, Vsta, Leona, 0, 3, 7, 34.0, 11.0, 2.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT01_127524, LJL, Summer, 0, D, 2, Fukuoka SoftBank HAWKS gaming, AXIZ CREST, 1863, Evi, K'Sante, 2, 3, 9, 198.0, Forest, Brand, 2, 3, 10, 220.0, DasheR, Corki, 5, 1, 6, 304.0, Marble, Kalista, 9, 0, 6, 243.0, Vsta, Rell, 1, 3, 11, 22.0, 11.0, 1.0, 1.0, 2.0, 1, 1, 1.0
LOLTMNT02_113514, LJL, Summer, 0, E, 1, Fukuoka SoftBank HAWKS gaming, Sengoku Gaming, 1671, Evi, Skarner, 5, 2, 10, 197.0, Forest, Zyra, 4, 2, 9, 203.0, DasheR, Lucian, 6, 2, 6, 296.0, Marble, Kai'Sa, 6, 3, 5, 276.0, Vsta, Leona, 1, 3, 13, 49.0, 9.0, 3.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT02_113525, LJL, Summer, 0, E, 2, Fukuoka SoftBank HAWKS gaming, Sengoku Gaming, 1822, Evi, K'Sante, 1, 4, 9, 187.0, Forest, Zyra, 2, 1, 13, 220.0, DasheR, Tristana, 8, 3, 5, 286.0, Marble, Zeri, 6, 2, 10, 283.0, Vsta, Leona, 1, 4, 13, 35.0, 7.0, 0.0, 1.0, 0.0, 1, 1, 0.0
