gameid, league, split, playoffs, series_num, game_num, ego_team, opp_team, gamelength, top_player, top_champion, top_primary_kills, top_primary_deaths, top_primary_assists, top_primary_total_cs, jgl_player, jgl_champion, jgl_primary_kills, jgl_primary_deaths, jgl_primary_assists, jgl_primary_total_cs, mid_player, mid_champion, mid_primary_kills, mid_primary_deaths, mid_primary_assists, mid_primary_total_cs, bot_player, bot_champion, bot_primary_kills, bot_primary_deaths, bot_primary_assists, bot_primary_total_cs, sup_player, sup_champion, sup_primary_kills, sup_primary_deaths, sup_primary_assists, sup_primary_total_cs, constant_turrets, constant_dragons, constant_heralds, constant_barons, constant_win, constant_win_under_30, constant_first_blood
LOLTMNT01_81302, VCS, Spring, 1, A, 1, GAM Esports, Vikings Esports, 1963, Kiaya, Rek'Sai, 2, 6, 7, 235.0, Levi, Rell, 2, 5, 7, 151.0, Emo, Tristana, 3, 3, 5, 297.0, EasyLove, Senna, 4, 3, 5, 77.0, Elio, Tahm Kench, 1, 3, 5, 219.0, 2.0, 1.0, 0.0, 0.0, 0, 0, 0.0
LOLTMNT01_81306, VCS, Spring, 1, A, 2, GAM Esports, Vikings Esports, 2229, Kiaya, Rumble, 3, 6, 3, 307.0, Levi, Maokai, 1, 5, 9, 171.0, Emo, Tristana, 6, 3, 1, 329.0, EasyLove, Lucian, 3, 8, 4, 294.0, Elio, Nami, 2, 2, 7, 52.0, 4.0, 0.0, 1.0, 0.0, 0, 0, 1.0
LOLTMNT01_81645, VCS, Spring, 1, B, 1, GAM Esports, Team Whales, 2180, Kiaya, Rumble, 9, 1, 8, 298.0, Levi, Wukong, 3, 4, 14, 238.0, Emo, Taliyah, 5, 1, 11, 376.0, EasyLove, Senna, 5, 1, 15, 75.0, Elio, Nautilus, 1, 4, 15, 180.0, 9.0, 4.0, 1.0, 2.0, 1, 1, 1.0
LOLTMNT01_82307, VCS, Spring, 1, B, 2, GAM Esports, Team Whales, 2091, Kiaya, Udyr, 2, 6, 1, 271.0, Levi, Volibear, 1, 3, 9, 177.0, Emo, Ahri, 7, 4, 7, 280.0, EasyLove, Draven, 7, 4, 6, 310.0, Elio, Neeko, 2, 5, 10, 51.0, 5.0, 4.0, 1.0, 0.0, 0, 0, 0.0
LOLTMNT01_82310, VCS, Spring, 1, B, 3, GAM Esports, Team Whales, 1978, Kiaya, Rumble, 9, 1, 8, 310.0, Levi, Wukong, 1, 1, 15, 187.0, Emo, Akali, 8, 1, 8, 274.0, EasyLove, Kalista, 3, 1, 6, 305.0, Elio, Pyke, 2, 4, 11, 82.0, 9.0, 4.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT01_82313, VCS, Spring, 1, B, 4, GAM Esports, Team Whales, 1742, Kiaya, Rumble, 4, 0, 7, 272.0, Levi, Jax, 6, 1, 6, 183.0, Emo, Neeko, 2, 1, 6, 258.0, EasyLove, Kalista, 4, 4, 6, 274.0, Elio, Renata Glasc, 2, 2, 10, 41.0, 7.0, 3.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT01_82515, VCS, Spring, 1, C, 1, GAM Esports, Team Secret, 1776, Kiaya, Twisted Fate, 1, 1, 9, 261.0, Levi, Nocturne, 6, 1, 6, 212.0, Emo, Akali, 5, 1, 5, 224.0, EasyLove, Smolder, 5, 1, 7, 311.0, Elio, Nautilus, 0, 1, 13, 35.0, 8.0, 2.0, 0.0, 1.0, 1, 1, 0.0
LOLTMNT01_81817, VCS, Spring, 1, C, 2, GAM Esports, Team Secret, 2383, Kiaya, Smolder, 16, 4, 5, 417.0, Levi, Nocturne, 5, 1, 13, 239.0, Emo, Neeko, 0, 7, 19, 268.0, EasyLove, Senna, 2, 5, 22, 77.0, Elio, Nautilus, 1, 5, 17, 227.0, 7.0, 2.0, 0.0, 1.0, 1, 1, 0.0
LOLTMNT01_82526, VCS, Spring, 1, C, 3, GAM Esports, Team Secret, 2376, Kiaya, Rumble, 10, 1, 13, 305.0, Levi, Xin Zhao, 3, 1, 17, 235.0, Emo, Akali, 6, 2, 6, 363.0, EasyLove, Senna, 4, 1, 20, 97.0, Elio, Nautilus, 3, 1, 15, 228.0, 10.0, 4.0, 0.0, 3.0, 1, 1, 0.0
LOLTMNT01_81897, VCS, Spring, 1, D, 1, GAM Esports, Vikings Esports, 2485, Kiaya, Renekton, 6, 1, 8, 356.0, Levi, Wukong, 2, 4, 8, 242.0, Emo, Taliyah, 2, 1, 14, 370.0, EasyLove, Draven, 7, 2, 6, 360.0, Elio, Renata Glasc, 5, 2, 10, 49.0, 10.0, 2.0, 1.0, 2.0, 1, 1, 1.0
