gameid, league, split, playoffs, series_num, game_num, ego_team, opp_team, gamelength, top_player, top_champion, top_primary_kills, top_primary_deaths, top_primary_assists, top_primary_total_cs, jgl_player, jgl_champion, jgl_primary_kills, jgl_primary_deaths, jgl_primary_assists, jgl_primary_total_cs, mid_player, mid_champion, mid_primary_kills, mid_primary_deaths, mid_primary_assists, mid_primary_total_cs, bot_player, bot_champion, bot_primary_kills, bot_primary_deaths, bot_primary_assists, bot_primary_total_cs, sup_player, sup_champion, sup_primary_kills, sup_primary_deaths, sup_primary_assists, sup_primary_total_cs, constant_turrets, constant_dragons, constant_heralds, constant_barons, constant_win, constant_win_under_30, constant_first_blood
LOLTMNT03_34235, VCS, Spring, 0, A, 1, GAM Esports, Team Whales, 2016, Kiaya, Rumble, 9, 3, 8, 312.0, Levi, Maokai, 5, 2, 13, 166.0, Blazes, Yone, 3, 2, 4, 306.0, Pyshiro, Lucian, 6, 0, 11, 282.0, Elio, Milio, 0, 1, 18, 69.0, 11.0, 3.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT03_34244, VCS, Spring, 0, A, 2, GAM Esports, Team Whales, 2232, Kiaya, Rumble, 6, 4, 5, 261.0, Levi, Lee Sin, 1, 3, 13, 215.0, Blazes, Azir, 7, 1, 4, 406.0, Pyshiro, Lucian, 3, 0, 7, 357.0, Elio, Milio, 0, 2, 15, 65.0, 8.0, 4.0, 1.0, 2.0, 1, 1, 0.0
LOLTMNT03_34594, VCS, Spring, 0, B, 1, GAM Esports, MGN Blue Esports, 1883, Kiaya, K'Sante, 5, 3, 11, 280.0, Levi, Rell, 3, 2, 17, 187.0, Blazes, Tristana, 7, 4, 9, 298.0, Pyshiro, Lucian, 5, 3, 10, 299.0, Elio, Nami, 1, 3, 18, 60.0, 10.0, 2.0, 0.0, 1.0, 1, 1, 0.0
LOLTMNT03_33636, VCS, Spring, 0, B, 2, GAM Esports, MGN Blue Esports, 1733, Kiaya, K'Sante, 6, 1, 9, 227.0, Levi, Brand, 8, 3, 15, 204.0, Blazes, Tristana, 9, 3, 5, 246.0, Pyshiro, Kai'Sa, 6, 3, 11, 259.0, Elio, Rell, 0, 3, 22, 18.0, 11.0, 3.0, 0.0, 1.0, 1, 1, 1.0
LOLTMNT01_37698, VCS, Spring, 0, C, 1, GAM Esports, Team Flash, 2021, Kiaya, Gwen, 2, 1, 6, 322.0, Levi, Maokai, 2, 0, 8, 205.0, Blazes, Tristana, 5, 3, 4, 304.0, Pyshiro, Lucian, 3, 0, 7, 345.0, Elio, Milio, 1, 2, 11, 32.0, 9.0, 4.0, 1.0, 1.0, 1, 1, 0.0
LOLTMNT01_36735, VCS, Spring, 0, C, 2, GAM Esports, Team Flash, 2411, Kiaya, K'Sante, 3, 4, 11, 275.0, Levi, Rell, 0, 1, 15, 218.0, Blazes, Azir, 9, 4, 5, 382.0, Pyshiro, Aphelios, 4, 1, 8, 397.0, Elio, Milio, 0, 3, 16, 31.0, 8.0, 3.0, 0.0, 1.0, 1, 1, 0.0
LOLTMNT01_42724, VCS, Spring, 0, D, 1, GAM Esports, CERBERUS Esports, 1757, Kiaya, Rumble, 8, 3, 7, 234.0, Levi, Rell, 1, 2, 16, 188.0, Blazes, Tristana, 4, 2, 5, 275.0, Pyshiro, Jhin, 7, 0, 7, 303.0, Elio, Bard, 0, 3, 16, 29.0, 9.0, 2.0, 1.0, 1.0, 1, 1, 0.0
LOLTMNT01_42744, VCS, Spring, 0, D, 2, GAM Esports, CERBERUS Esports, 2349, Kiaya, Udyr, 4, 2, 12, 246.0, Levi, Vi, 4, 4, 15, 259.0, Blazes, Orianna, 5, 4, 12, 336.0, Pyshiro, Lucian, 7, 4, 6, 392.0, Elio, Milio, 0, 4, 17, 36.0, 8.0, 4.0, 0.0, 0.0, 1, 1, 1.0
LOLTMNT01_44746, VCS, Spring, 0, E, 1, GAM Esports, Vikings Esports, 2486, Kiaya, K'Sante, 3, 1, 7, 349.0, Levi, Vi, 1, 3, 12, 231.0, Blazes, Azir, 7, 1, 7, 390.0, Pyshiro, Kalista, 5, 1, 6, 440.0, Elio, Renata Glasc, 0, 3, 13, 57.0, 8.0, 4.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT01_44777, VCS, Spring, 0, E, 2, GAM Esports, Vikings Esports, 2397, Kiaya, K'Sante, 3, 1, 9, 310.0, Levi, Rell, 1, 1, 17, 219.0, Blazes, Orianna, 4, 1, 11, 331.0, Pyshiro, Aphelios, 10, 0, 4, 419.0, Elio, Renata Glasc, 1, 1, 17, 66.0, 11.0, 4.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT01_58556, VCS, Spring, 0, F, 1, GAM Esports, Rainbow Warriors, 1486, Kiaya, Aatrox, 5, 0, 3, 258.0, Levi, Nocturne, 5, 1, 8, 164.0, Blazes, Orianna, 5, 3, 10, 206.0, Pyshiro, Senna, 5, 3, 14, 73.0, Elio, Nautilus, 3, 1, 10, 178.0, 8.0, 3.0, 0.0, 1.0, 1, 1, 1.0
LOLTMNT01_58572, VCS, Spring, 0, F, 2, GAM Esports, Rainbow Warriors, 1755, Kiaya, Aatrox, 3, 4, 11, 203.0, Levi, Nocturne, 7, 1, 9, 167.0, Blazes, Azir, 9, 1, 10, 274.0, Pyshiro, Twisted Fate, 10, 2, 12, 277.0, Elio, Tahm Kench, 1, 5, 16, 24.0, 11.0, 4.0, 0.0, 1.0, 1, 1, 1.0
LOLTMNT02_54276, VCS, Spring, 0, G, 1, GAM Esports, Team Secret, 2349, Kiaya, K'Sante, 7, 3, 5, 318.0, Levi, Sejuani, 1, 3, 13, 200.0, Blazes, Azir, 7, 4, 4, 399.0, Pyshiro, Lucian, 3, 2, 7, 376.0, Elio, Milio, 0, 1, 12, 29.0, 6.0, 3.0, 1.0, 1.0, 0, 0, 1.0
LOLTMNT02_54294, VCS, Spring, 0, G, 2, GAM Esports, Team Secret, 1602, Kiaya, Udyr, 3, 4, 0, 227.0, Levi, Xin Zhao, 3, 4, 3, 164.0, Blazes, Orianna, 1, 6, 4, 191.0, Pyshiro, Lucian, 0, 4, 5, 215.0, Elio, Milio, 1, 2, 6, 26.0, 3.0, 0.0, 1.0, 0.0, 0, 0, 0.0
LOLTMNT02_56209, VCS, Spring, 0, H, 1, GAM Esports, Team Whales, 2454, Kiaya, Smolder, 7, 0, 3, 422.0, Levi, Vi, 2, 1, 6, 280.0, Blazes, Karma, 1, 2, 5, 326.0, Pyshiro, Senna, 1, 0, 9, 128.0, Elio, Tahm Kench, 1, 0, 6, 215.0, 7.0, 4.0, 0.0, 1.0, 1, 1, 0.0
LOLTMNT02_57158, VCS, Spring, 0, H, 2, GAM Esports, Team Whales, 1608, Kiaya, K'Sante, 2, 3, 7, 204.0, Levi, Lee Sin, 4, 3, 18, 155.0, Blazes, Hwei, 10, 0, 10, 242.0, Pyshiro, Varus, 7, 3, 7, 242.0, Elio, Maokai, 3, 1, 15, 36.0, 11.0, 3.0, 0.0, 1.0, 1, 1, 1.0
LOLTMNT02_60245, VCS, Spring, 0, I, 1, GAM Esports, MGN Blue Esports, 1921, Kiaya, Jayce, 3, 8, 1, 256.0, Levi, Vi, 0, 4, 3, 183.0, Emo, Hwei, 1, 2, 2, 283.0, Pyshiro, Twisted Fate, 3, 3, 2, 275.0, Elio, Tahm Kench, 0, 6, 3, 34.0, 6.0, 1.0, 0.0, 0.0, 0, 0, 0.0
LOLTMNT02_60269, VCS, Spring, 0, I, 2, GAM Esports, MGN Blue Esports, 1766, Kiaya, Jax, 1, 1, 4, 282.0, Levi, Lee Sin, 4, 1, 11, 192.0, Blazes, Karma, 4, 3, 10, 210.0, Pyshiro, Smolder, 10, 1, 6, 302.0, Elio, Maokai, 1, 2, 15, 36.0, 9.0, 3.0, 0.0, 1.0, 1, 1, 0.0
LOLTMNT02_60306, VCS, Spring, 0, I, 3, GAM Esports, MGN Blue Esports, 2596, Kiaya, Udyr, 2, 2, 1, 321.0, Levi, Trundle, 0, 9, 3, 221.0, Blazes, Karma, 2, 6, 2, 305.0, Pyshiro, Caitlyn, 1, 3, 2, 347.0, Elio, Ashe, 1, 5, 3, 92.0, 4.0, 3.0, 1.0, 0.0, 0, 0, 0.0
LOLTMNT02_62267, VCS, Spring, 0, J, 1, GAM Esports, Team Flash, 1992, Kiaya, Gnar, 3, 2, 2, 333.0, Levi, Rell, 0, 4, 6, 201.0, Blazes, Tristana, 5, 2, 2, 309.0, Pyshiro, Senna, 0, 3, 5, 82.0, Elio, Maokai, 0, 4, 2, 194.0, 9.0, 0.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT02_62293, VCS, Spring, 0, J, 2, GAM Esports, Team Flash, 2173, Kiaya, Rumble, 6, 8, 7, 239.0, Levi, Maokai, 2, 4, 13, 150.0, Blazes, Tristana, 7, 5, 8, 335.0, Pyshiro, Xayah, 3, 2, 6, 405.0, Elio, Rakan, 0, 4, 13, 48.0, 2.0, 2.0, 0.0, 0.0, 0, 0, 1.0
LOLTMNT02_62302, VCS, Spring, 0, J, 3, GAM Esports, Team Flash, 1862, Kiaya, Jax, 4, 2, 5, 255.0, Levi, Vi, 6, 2, 8, 187.0, Blazes, Orianna, 2, 0, 11, 238.0, Pyshiro, Smolder, 7, 2, 6, 314.0, Elio, Maokai, 0, 3, 10, 42.0, 9.0, 2.0, 0.0, 1.0, 1, 1, 1.0
LOLTMNT02_63802, VCS, Spring, 0, K, 1, GAM Esports, Vikings Esports, 2186, Kiaya, Udyr, 2, 4, 18, 269.0, Levi, Lee Sin, 7, 1, 13, 238.0, Blazes, Taliyah, 4, 2, 17, 308.0, Pyshiro, Smolder, 12, 0, 4, 387.0, Elio, Maokai, 0, 3, 11, 46.0, 9.0, 4.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT02_63813, VCS, Spring, 0, K, 2, GAM Esports, Vikings Esports, 2212, Kiaya, Aatrox, 3, 2, 8, 298.0, Levi, Rell, 0, 1, 14, 197.0, Blazes, Taliyah, 0, 2, 11, 344.0, Pyshiro, Smolder, 14, 0, 1, 423.0, Elio, Nautilus, 0, 1, 8, 47.0, 8.0, 3.0, 0.0, 2.0, 1, 1, 0.0
LOLTMNT02_63986, VCS, Spring, 0, L, 1, GAM Esports, CERBERUS Esports, 2016, Kiaya, Jax, 3, 4, 3, 279.0, Levi, Vi, 0, 4, 8, 203.0, Blazes, Karma, 3, 2, 5, 292.0, Pyshiro, Senna, 3, 3, 6, 86.0, Elio, Tahm Kench, 1, 4, 3, 202.0, 2.0, 2.0, 0.0, 0.0, 0, 0, 0.0
LOLTMNT02_63993, VCS, Spring, 0, L, 2, GAM Esports, CERBERUS Esports, 1772, Kiaya, Jax, 6, 3, 6, 228.0, Levi, Rell, 1, 2, 11, 133.0, Blazes, Hwei, 2, 0, 8, 239.0, Pyshiro, Varus, 5, 0, 3, 269.0, Elio, Ashe, 0, 0, 9, 49.0, 7.0, 4.0, 0.0, 1.0, 1, 1, 0.0
LOLTMNT02_63999, VCS, Spring, 0, L, 3, GAM Esports, CERBERUS Esports, 1939, Kiaya, Udyr, 1, 4, 4, 261.0, Levi, Maokai, 2, 4, 8, 155.0, Blazes, Jayce, 3, 6, 5, 271.0, Pyshiro, Kalista, 4, 5, 4, 308.0, Elio, Hwei, 1, 2, 8, 35.0, 5.0, 4.0, 0.0, 1.0, 0, 0, 0.0
