gameid, league, split, playoffs, series_num, game_num, ego_team, opp_team, gamelength, top_player, top_champion, top_primary_kills, top_primary_deaths, top_primary_assists, top_primary_total_cs, jgl_player, jgl_champion, jgl_primary_kills, jgl_primary_deaths, jgl_primary_assists, jgl_primary_total_cs, mid_player, mid_champion, mid_primary_kills, mid_primary_deaths, mid_primary_assists, mid_primary_total_cs, bot_player, bot_champion, bot_primary_kills, bot_primary_deaths, bot_primary_assists, bot_primary_total_cs, sup_player, sup_champion, sup_primary_kills, sup_primary_deaths, sup_primary_assists, sup_primary_total_cs, constant_turrets, constant_dragons, constant_heralds, constant_barons, constant_win, constant_win_under_30, constant_first_blood
LOLTMNT02_151018, VCS, Summer, 1, A, 1, GAM Esports, Team Secret, 1757, Kiaya, K'Sante, 3, 2, 4, 238.0, Levi, Brand, 5, 3, 6, 232.0, Emo, Corki, 2, 2, 5, 309.0, EasyLove, Ashe, 4, 2, 7, 294.0, Elio, Braum, 1, 1, 12, 26.0, 9.0, 2.0, 1.0, 1.0, 1, 1, 0.0
LOLTMNT02_152025, VCS, Summer, 1, A, 2, GAM Esports, Team Secret, 2161, Kiaya, Aurora, 1, 3, 13, 243.0, Levi, Nocturne, 4, 5, 11, 239.0, Emo, Ahri, 13, 0, 5, 296.0, EasyLove, Jhin, 2, 1, 15, 333.0, Elio, Poppy, 0, 7, 9, 43.0, 8.0, 3.0, 0.0, 1.0, 1, 1, 0.0
LOLTMNT02_151069, VCS, Summer, 1, A, 3, GAM Esports, Team Secret, 1861, Kiaya, Rumble, 4, 5, 8, 213.0, Levi, Vi, 2, 3, 7, 166.0, Emo, Corki, 6, 0, 8, 339.0, EasyLove, Jhin, 3, 0, 10, 268.0, Elio, Rakan, 1, 3, 11, 32.0, 9.0, 3.0, 0.0, 2.0, 1, 1, 1.0
LOLTMNT02_154368, VCS, Summer, 1, B, 1, GAM Esports, Vikings Esports, 2812, Kiaya, Aurora, 4, 3, 14, 326.0, Levi, Zyra, 5, 3, 18, 335.0, Emo, Zeri, 11, 1, 5, 453.0, EasyLove, Ezreal, 6, 4, 11, 447.0, Elio, Alistar, 2, 2, 18, 36.0, 10.0, 4.0, 1.0, 3.0, 1, 1, 1.0
LOLTMNT02_154386, VCS, Summer, 1, B, 2, GAM Esports, Vikings Esports, 2494, Kiaya, Twisted Fate, 4, 3, 9, 300.0, Levi, Lillia, 2, 7, 13, 255.0, Emo, Corki, 8, 4, 8, 356.0, EasyLove, Ezreal, 6, 2, 11, 338.0, Elio, Alistar, 1, 9, 16, 37.0, 7.0, 4.0, 1.0, 0.0, 0, 0, 1.0
LOLTMNT02_153880, VCS, Summer, 1, B, 3, GAM Esports, Vikings Esports, 2352, Kiaya, Smolder, 6, 3, 5, 387.0, Levi, Lillia, 4, 1, 8, 253.0, Emo, Corki, 3, 2, 5, 363.0, EasyLove, Ezreal, 2, 2, 9, 314.0, Elio, Braum, 1, 3, 9, 40.0, 9.0, 3.0, 0.0, 3.0, 1, 1, 1.0
LOLTMNT02_154432, VCS, Summer, 1, B, 4, GAM Esports, Vikings Esports, 1854, Kiaya, K'Sante, 1, 3, 5, 270.0, Levi, Lillia, 4, 2, 3, 188.0, Emo, Orianna, 3, 3, 2, 282.0, EasyLove, Ezreal, 1, 0, 3, 296.0, Elio, Braum, 0, 5, 6, 35.0, 2.0, 1.0, 0.0, 0.0, 0, 0, 1.0
LOLTMNT02_154463, VCS, Summer, 1, B, 5, GAM Esports, Vikings Esports, 2747, Kiaya, Gnar, 7, 1, 12, 370.0, Levi, Shyvana, 3, 5, 9, 352.0, Emo, Lucian, 8, 2, 10, 423.0, EasyLove, Smolder, 7, 2, 9, 461.0, Elio, Alistar, 0, 6, 13, 36.0, 11.0, 6.0, 1.0, 2.0, 1, 1, 1.0
LOLTMNT02_158714, VCS, Summer, 1, C, 1, GAM Esports, Vikings Esports, 1882, Kiaya, Camille, 7, 1, 5, 296.0, Levi, Zyra, 3, 1, 9, 242.0, Emo, Zeri, 5, 1, 5, 364.0, EasyLove, Miss Fortune, 4, 0, 4, 365.0, Elio, Rell, 1, 3, 11, 43.0, 11.0, 4.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT02_158720, VCS, Summer, 1, C, 2, GAM Esports, Vikings Esports, 1885, Kiaya, K'Sante, 3, 3, 9, 251.0, Levi, Lillia, 5, 0, 21, 252.0, Emo, Zeri, 9, 0, 7, 333.0, EasyLove, Ezreal, 8, 2, 11, 317.0, Elio, Bard, 2, 2, 23, 53.0, 8.0, 2.0, 0.0, 2.0, 1, 1, 1.0
LOLTMNT02_159146, VCS, Summer, 1, C, 3, GAM Esports, Vikings Esports, 1919, Kiaya, Kennen, 10, 0, 8, 265.0, Levi, Vi, 5, 0, 14, 217.0, Emo, Ahri, 4, 1, 7, 322.0, EasyLove, Zeri, 6, 1, 9, 324.0, Elio, Braum, 1, 4, 18, 34.0, 9.0, 4.0, 1.0, 2.0, 1, 1, 0.0
