gameid, league, split, playoffs, series_num, game_num, ego_team, opp_team, gamelength, top_player, top_champion, top_primary_kills, top_primary_deaths, top_primary_assists, top_primary_total_cs, jgl_player, jgl_champion, jgl_primary_kills, jgl_primary_deaths, jgl_primary_assists, jgl_primary_total_cs, mid_player, mid_champion, mid_primary_kills, mid_primary_deaths, mid_primary_assists, mid_primary_total_cs, bot_player, bot_champion, bot_primary_kills, bot_primary_deaths, bot_primary_assists, bot_primary_total_cs, sup_player, sup_champion, sup_primary_kills, sup_primary_deaths, sup_primary_assists, sup_primary_total_cs, constant_turrets, constant_dragons, constant_heralds, constant_barons, constant_win, constant_win_under_30, constant_first_blood
LOLTMNT02_113562, VCS, Summer, 0, A, 1, GAM Esports, CERBERUS Esports, 1711, Kiaya, Skarner, 4, 2, 10, 231.0, Levi, Brand, 1, 3, 10, 216.0, Emo, Tristana, 9, 1, 2, 310.0, EasyLove, Draven, 3, 4, 11, 236.0, Elio, Poppy, 2, 4, 10, 42.0, 7.0, 3.0, 0.0, 1.0, 1, 1, 0.0
LOLTMNT02_112523, VCS, Summer, 0, A, 2, GAM Esports, CERBERUS Esports, 1791, Kiaya, Jax, 2, 3, 5, 246.0, Levi, Nidalee, 2, 3, 7, 230.0, Emo, Corki, 5, 3, 7, 274.0, EasyLove, Jhin, 4, 2, 5, 294.0, Elio, Maokai, 0, 2, 10, 45.0, 3.0, 2.0, 0.0, 0.0, 0, 0, 0.0
LOLTMNT02_112569, VCS, Summer, 0, A, 3, GAM Esports, CERBERUS Esports, 2488, Kiaya, Aatrox, 11, 0, 7, 325.0, Levi, Lillia, 6, 4, 14, 305.0, Emo, Corki, 5, 2, 10, 366.0, EasyLove, Kai'Sa, 4, 4, 12, 317.0, Elio, Rell, 0, 5, 20, 36.0, 10.0, 4.0, 1.0, 2.0, 1, 1, 0.0
LOLTMNT02_114276, VCS, Summer, 0, B, 1, GAM Esports, Team Whales, 1587, Kiaya, K'Sante, 1, 1, 6, 215.0, Levi, Taliyah, 4, 0, 12, 223.0, Emo, Lucian, 3, 2, 7, 260.0, Neo, Kalista, 7, 1, 6, 229.0, Elio, Poppy, 1, 2, 10, 44.0, 10.0, 1.0, 1.0, 1.0, 1, 1, 0.0
LOLTMNT02_115312, VCS, Summer, 0, B, 2, GAM Esports, Team Whales, 1261, Kiaya, Rumble, 2, 0, 6, 178.0, Levi, Ivern, 2, 0, 13, 127.0, Emo, Aatrox, 7, 0, 3, 173.0, Neo, Draven, 5, 0, 10, 162.0, Elio, Renata Glasc, 1, 1, 14, 26.0, 8.0, 2.0, 1.0, 0.0, 1, 1, 1.0
LOLTMNT02_124390, VCS, Summer, 0, C, 1, GAM Esports, Vikings Esports, 1838, Kiaya, Aatrox, 3, 5, 4, 255.0, Levi, Lillia, 3, 4, 8, 218.0, Emo, Tristana, 7, 2, 3, 244.0, Neo, Senna, 2, 1, 11, 67.0, Elio, Nautilus, 0, 4, 9, 197.0, 4.0, 1.0, 1.0, 0.0, 0, 0, 0.0
LOLTMNT02_124433, VCS, Summer, 0, C, 2, GAM Esports, Vikings Esports, 1877, Kiaya, Skarner, 2, 3, 5, 228.0, Levi, Brand, 4, 3, 6, 215.0, Emo, Tristana, 3, 3, 6, 274.0, Neo, Ezreal, 7, 1, 7, 321.0, Elio, Leona, 0, 3, 11, 46.0, 8.0, 3.0, 0.0, 2.0, 1, 1, 1.0
LOLTMNT02_127016, VCS, Summer, 0, C, 3, GAM Esports, Vikings Esports, 2659, Kiaya, Skarner, 4, 6, 8, 314.0, Levi, Vi, 4, 6, 10, 232.0, Emo, Taliyah, 3, 2, 10, 388.0, Neo, Ezreal, 7, 1, 9, 451.0, Elio, Poppy, 2, 7, 8, 43.0, 7.0, 5.0, 1.0, 2.0, 1, 1, 1.0
LOLTMNT02_130059, VCS, Summer, 0, D, 1, GAM Esports, MGN Blue Esports, 1992, Kiaya, Mordekaiser, 6, 2, 4, 298.0, Levi, Ivern, 2, 2, 15, 186.0, Emo, Tristana, 7, 3, 7, 345.0, Neo, Ezreal, 3, 2, 12, 304.0, Elio, Leona, 0, 4, 11, 53.0, 11.0, 4.0, 0.0, 1.0, 1, 1, 0.0
LOLTMNT02_131035, VCS, Summer, 0, D, 2, GAM Esports, MGN Blue Esports, 1191, Kiaya, K'Sante, 0, 2, 2, 170.0, Levi, Diana, 0, 6, 3, 148.0, Emo, Tristana, 3, 3, 1, 176.0, Neo, Ezreal, 1, 3, 3, 178.0, Elio, Leona, 1, 6, 3, 28.0, 2.0, 0.0, 0.0, 0.0, 0, 0, 0.0
