gameid, league, split, playoffs, series_num, game_num, ego_team, opp_team, gamelength, top_player, top_champion, top_primary_kills, top_primary_deaths, top_primary_assists, top_primary_total_cs, jgl_player, jgl_champion, jgl_primary_kills, jgl_primary_deaths, jgl_primary_assists, jgl_primary_total_cs, mid_player, mid_champion, mid_primary_kills, mid_primary_deaths, mid_primary_assists, mid_primary_total_cs, bot_player, bot_champion, bot_primary_kills, bot_primary_deaths, bot_primary_assists, bot_primary_total_cs, sup_player, sup_champion, sup_primary_kills, sup_primary_deaths, sup_primary_assists, sup_primary_total_cs, constant_turrets, constant_dragons, constant_heralds, constant_barons, constant_win, constant_win_under_30, constant_first_blood
LOLTMNT05_73676, LEC, Finals, 1, A, 1, MAD Lions KOI, G2 Esports, 1637, Myrwn, Lulu, 1, 0, 3, 223.0, Elyoya, Maokai, 0, 4, 1, 135.0, Fresskowy, Ezreal, 1, 3, 1, 230.0, Supa, Smolder, 2, 3, 1, 254.0, Alvaro, Alistar, 0, 5, 3, 32.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 1.0
LOLTMNT05_73680, LEC, Finals, 1, A, 2, MAD Lions KOI, G2 Esports, 2051, Myrwn, Corki, 7, 2, 6, 399.0, Elyoya, Morgana, 1, 5, 10, 195.0, Fresskowy, Vex, 5, 5, 1, 290.0, Supa, Ezreal, 4, 4, 6, 277.0, Alvaro, Leona, 1, 4, 7, 44.0, 9.0, 4.0, 1.0, 1.0, 1, 1, 0.0
LOLTMNT05_73687, LEC, Finals, 1, A, 3, MAD Lions KOI, G2 Esports, 2971, Myrwn, Zeri, 10, 7, 11, 457.0, Elyoya, Morgana, 4, 6, 21, 277.0, Fresskowy, Galio, 5, 6, 18, 364.0, Supa, Ezreal, 8, 7, 12, 409.0, Alvaro, Nautilus, 2, 9, 20, 46.0, 9.0, 3.0, 1.0, 1.0, 0, 0, 1.0
LOLTMNT05_74678, LEC, Finals, 1, A, 4, MAD Lions KOI, G2 Esports, 1679, Myrwn, Smolder, 7, 5, 7, 262.0, Elyoya, Vi, 8, 1, 10, 169.0, Fresskowy, Zeri, 3, 1, 10, 242.0, Supa, Ezreal, 6, 0, 9, 267.0, Alvaro, Braum, 0, 2, 21, 32.0, 8.0, 4.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT05_74680, LEC, Finals, 1, A, 5, MAD Lions KOI, G2 Esports, 2016, Myrwn, Nidalee, 6, 2, 8, 264.0, Elyoya, Vi, 5, 0, 9, 224.0, Fresskowy, Ahri, 7, 1, 9, 269.0, Supa, Zeri, 2, 5, 15, 294.0, Alvaro, Braum, 3, 4, 14, 30.0, 8.0, 2.0, 1.0, 0.0, 1, 1, 0.0
LOLTMNT05_75207, LEC, Finals, 1, B, 1, MAD Lions KOI, Fnatic, 1811, Myrwn, K'Sante, 1, 2, 5, 203.0, Elyoya, Maokai, 2, 0, 12, 177.0, Fresskowy, Ezreal, 4, 0, 7, 293.0, Supa, Miss Fortune, 8, 0, 4, 332.0, Alvaro, Poppy, 1, 1, 8, 35.0, 9.0, 4.0, 1.0, 2.0, 1, 1, 1.0
LOLTMNT05_75208, LEC, Finals, 1, B, 2, MAD Lions KOI, Fnatic, 1614, Myrwn, K'Sante, 0, 3, 0, 214.0, Elyoya, Vi, 0, 4, 2, 175.0, Fresskowy, Zeri, 1, 3, 1, 247.0, Supa, Kai'Sa, 1, 2, 1, 248.0, Alvaro, Nautilus, 1, 5, 2, 30.0, 2.0, 1.0, 0.0, 0.0, 0, 0, 0.0
LOLTMNT05_76175, LEC, Finals, 1, B, 3, MAD Lions KOI, Fnatic, 2375, Myrwn, Nidalee, 4, 4, 7, 304.0, Elyoya, Maokai, 1, 2, 10, 183.0, Fresskowy, Tristana, 8, 3, 2, 374.0, Supa, Ashe, 3, 4, 6, 385.0, Alvaro, Rell, 1, 6, 10, 35.0, 9.0, 3.0, 0.0, 2.0, 0, 0, 1.0
LOLTMNT05_76176, LEC, Finals, 1, B, 4, MAD Lions KOI, Fnatic, 2060, Myrwn, Nidalee, 1, 1, 6, 293.0, Elyoya, Ivern, 1, 2, 10, 173.0, Fresskowy, LeBlanc, 4, 1, 5, 265.0, Supa, Ezreal, 8, 4, 6, 353.0, Alvaro, Braum, 2, 3, 13, 22.0, 9.0, 3.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT05_75210, LEC, Finals, 1, B, 5, MAD Lions KOI, Fnatic, 2161, Myrwn, Nidalee, 1, 1, 1, 315.0, Elyoya, Amumu, 1, 4, 6, 181.0, Fresskowy, Tristana, 0, 1, 2, 321.0, Supa, Ezreal, 7, 2, 1, 362.0, Alvaro, Braum, 0, 2, 6, 29.0, 6.0, 3.0, 1.0, 0.0, 0, 0, 0.0
LOLTMNT05_75315, LEC, Finals, 1, C, 1, MAD Lions KOI, G2 Esports, 1650, Myrwn, Kennen, 5, 2, 9, 221.0, Elyoya, Maokai, 1, 2, 15, 152.0, Fresskowy, Corki, 3, 2, 7, 275.0, Supa, Miss Fortune, 11, 1, 7, 281.0, Alvaro, Alistar, 0, 3, 13, 32.0, 9.0, 2.0, 0.0, 1.0, 1, 1, 1.0
LOLTMNT05_76282, LEC, Finals, 1, C, 2, MAD Lions KOI, G2 Esports, 1796, Myrwn, Smolder, 2, 1, 0, 305.0, Elyoya, Ivern, 0, 2, 4, 147.0, Fresskowy, Ezreal, 1, 3, 1, 247.0, Supa, Miss Fortune, 3, 3, 2, 272.0, Alvaro, Leona, 0, 5, 4, 45.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 1.0
LOLTMNT05_75316, LEC, Finals, 1, C, 3, MAD Lions KOI, G2 Esports, 1872, Myrwn, Smolder, 1, 3, 1, 317.0, Elyoya, Lillia, 0, 4, 3, 198.0, Fresskowy, Yone, 1, 1, 0, 292.0, Supa, Miss Fortune, 4, 3, 0, 291.0, Alvaro, Leona, 0, 4, 4, 45.0, 3.0, 3.0, 0.0, 0.0, 0, 0, 1.0
LOLTMNT05_76283, LEC, Finals, 1, C, 4, MAD Lions KOI, G2 Esports, 1832, Myrwn, Gwen, 4, 3, 2, 292.0, Elyoya, Sejuani, 1, 5, 4, 166.0, Fresskowy, Yone, 2, 3, 0, 278.0, Supa, Ashe, 0, 4, 0, 269.0, Alvaro, Braum, 0, 3, 2, 26.0, 3.0, 2.0, 1.0, 0.0, 0, 0, 0.0
