gameid, league, split, playoffs, series_num, game_num, ego_team, opp_team, gamelength, top_player, top_champion, top_primary_kills, top_primary_deaths, top_primary_assists, top_primary_total_cs, jgl_player, jgl_champion, jgl_primary_kills, jgl_primary_deaths, jgl_primary_assists, jgl_primary_total_cs, mid_player, mid_champion, mid_primary_kills, mid_primary_deaths, mid_primary_assists, mid_primary_total_cs, bot_player, bot_champion, bot_primary_kills, bot_primary_deaths, bot_primary_assists, bot_primary_total_cs, sup_player, sup_champion, sup_primary_kills, sup_primary_deaths, sup_primary_assists, sup_primary_total_cs, constant_turrets, constant_dragons, constant_heralds, constant_barons, constant_win, constant_win_under_30, constant_first_blood
LOLTMNT04_49248, LEC, Summer, 0, A, 1, MAD Lions KOI, G2 Esports, 1939, Myrwn, Twisted Fate, 0, 7, 3, 232.0, Elyoya, Zyra, 5, 4, 3, 224.0, Fresskowy, Azir, 2, 3, 3, 289.0, Supa, Senna, 5, 3, 5, 48.0, Alvaro, Nautilus, 0, 3, 8, 193.0, 4.0, 3.0, 1.0, 0.0, 0, 0, 1.0
LOLTMNT04_49294, LEC, Summer, 0, B, 1, MAD Lions KOI, Karmine Corp, 2471, Myrwn, K'Sante, 4, 1, 3, 371.0, Elyoya, Sejuani, 1, 1, 6, 226.0, Fresskowy, LeBlanc, 3, 3, 3, 354.0, Supa, Ashe, 3, 1, 5, 442.0, Alvaro, Rell, 1, 4, 7, 49.0, 9.0, 4.0, 1.0, 2.0, 0, 0, 1.0
LOLTMNT04_51053, LEC, Summer, 0, C, 1, MAD Lions KOI, Team Heretics, 1987, Myrwn, Varus, 7, 4, 5, 256.0, Elyoya, Vi, 2, 2, 10, 190.0, Fresskowy, Taliyah, 2, 1, 5, 301.0, Supa, Jinx, 6, 0, 3, 348.0, Alvaro, Braum, 0, 3, 11, 21.0, 7.0, 3.0, 1.0, 0.0, 1, 1, 1.0
LOLTMNT04_52459, LEC, Summer, 0, D, 1, MAD Lions KOI, Team Vitality, 1749, Myrwn, Gragas, 0, 2, 1, 226.0, Elyoya, Ivern, 1, 2, 3, 170.0, Fresskowy, Corki, 1, 3, 2, 288.0, Supa, Zeri, 3, 5, 2, 268.0, Alvaro, Rell, 0, 4, 4, 25.0, 2.0, 0.0, 0.0, 0.0, 0, 0, 0.0
LOLTMNT04_52506, LEC, Summer, 0, E, 1, MAD Lions KOI, GiantX, 1672, Myrwn, K'Sante, 0, 5, 0, 189.0, Elyoya, Ivern, 1, 3, 1, 148.0, Fresskowy, Azir, 0, 4, 1, 269.0, Supa, Jinx, 0, 1, 2, 265.0, Alvaro, Braum, 1, 2, 1, 32.0, 2.0, 0.0, 1.0, 0.0, 0, 0, 1.0
LOLTMNT05_51676, LEC, Summer, 0, F, 1, MAD Lions KOI, Fnatic, 1898, Myrwn, Poppy, 1, 4, 1, 235.0, Elyoya, Sejuani, 0, 5, 1, 151.0, Fresskowy, Corki, 2, 2, 0, 329.0, Supa, Kai'Sa, 3, 3, 1, 291.0, Alvaro, Alistar, 1, 6, 2, 21.0, 5.0, 2.0, 0.0, 0.0, 0, 0, 0.0
LOLTMNT05_54047, LEC, Summer, 0, G, 1, MAD Lions KOI, SK Gaming, 1722, Myrwn, Sejuani, 3, 6, 5, 208.0, Elyoya, Brand, 2, 3, 7, 173.0, Fresskowy, Corki, 4, 2, 4, 248.0, Supa, Zeri, 3, 3, 1, 276.0, Alvaro, Leona, 0, 3, 10, 28.0, 3.0, 3.0, 1.0, 0.0, 0, 0, 1.0
LOLTMNT05_58717, LEC, Summer, 0, H, 1, MAD Lions KOI, Team BDS, 1990, Myrwn, Renekton, 0, 5, 1, 280.0, Elyoya, Zyra, 4, 5, 6, 227.0, Fresskowy, Corki, 2, 5, 3, 293.0, Supa, Kai'Sa, 4, 3, 3, 319.0, Alvaro, Leona, 0, 7, 7, 39.0, 3.0, 3.0, 1.0, 0.0, 0, 0, 0.0
LOLTMNT05_59689, LEC, Summer, 0, I, 1, MAD Lions KOI, Rogue, 2622, Myrwn, Renekton, 2, 4, 9, 343.0, Elyoya, Viego, 7, 0, 8, 282.0, Fresskowy, Taliyah, 1, 0, 13, 380.0, Supa, Zeri, 7, 1, 9, 497.0, Alvaro, Rell, 0, 6, 16, 55.0, 11.0, 4.0, 0.0, 1.0, 1, 1, 1.0
LOLTMNT05_57548, LEC, Summer, 0, J, 1, MAD Lions KOI, Rogue, 1926, Myrwn, Skarner, 1, 4, 11, 219.0, Elyoya, Taliyah, 5, 0, 9, 260.0, Fresskowy, Tristana, 4, 0, 3, 350.0, Supa, Kai'Sa, 7, 1, 2, 317.0, Alvaro, Rakan, 0, 1, 15, 30.0, 10.0, 3.0, 1.0, 1.0, 1, 1, 0.0
LOLTMNT05_57557, LEC, Summer, 0, K, 1, MAD Lions KOI, Team Vitality, 1591, Myrwn, Twisted Fate, 5, 0, 12, 210.0, Elyoya, Viego, 4, 1, 16, 178.0, Fresskowy, Taliyah, 2, 0, 9, 251.0, Supa, Kai'Sa, 10, 1, 7, 242.0, Alvaro, Rell, 1, 5, 13, 31.0, 7.0, 2.0, 1.0, 1.0, 1, 1, 1.0
