gameid, league, split, playoffs, series_num, game_num, ego_team, opp_team, gamelength, top_player, top_champion, top_primary_kills, top_primary_deaths, top_primary_assists, top_primary_total_cs, jgl_player, jgl_champion, jgl_primary_kills, jgl_primary_deaths, jgl_primary_assists, jgl_primary_total_cs, mid_player, mid_champion, mid_primary_kills, mid_primary_deaths, mid_primary_assists, mid_primary_total_cs, bot_player, bot_champion, bot_primary_kills, bot_primary_deaths, bot_primary_assists, bot_primary_total_cs, sup_player, sup_champion, sup_primary_kills, sup_primary_deaths, sup_primary_assists, sup_primary_total_cs, constant_turrets, constant_dragons, constant_heralds, constant_barons, constant_win, constant_win_under_30, constant_first_blood
LOLTMNT04_25373, LEC, Winter, 1, A, 1, MAD Lions KOI, Fnatic, 1635, Myrwn, Zac, 2, 5, 4, 169.0, Elyoya, Bel'Veth, 2, 3, 6, 190.0, Fresskowy, Akali, 0, 5, 3, 227.0, Supa, Kalista, 4, 4, 4, 226.0, Alvaro, Blitzcrank, 0, 1, 7, 36.0, 2.0, 1.0, 0.0, 0.0, 0, 0, 0.0
LOLTMNT04_24383, LEC, Winter, 1, A, 2, MAD Lions KOI, Fnatic, 2902, Myrwn, Jayce, 3, 4, 8, 379.0, Elyoya, Brand, 6, 4, 6, 244.0, Fresskowy, Ezreal, 4, 1, 5, 403.0, Supa, Xayah, 1, 3, 5, 415.0, Alvaro, Rakan, 0, 2, 6, 71.0, 7.0, 2.0, 1.0, 2.0, 0, 0, 0.0
LOLTMNT04_26271, LEC, Winter, 1, B, 1, MAD Lions KOI, GiantX, 1387, Myrwn, Gwen, 2, 0, 4, 234.0, Elyoya, Vi, 4, 0, 8, 136.0, Fresskowy, Karma, 2, 0, 11, 188.0, Supa, Senna, 4, 0, 9, 192.0, Alvaro, Nautilus, 3, 0, 11, 30.0, 11.0, 1.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT04_26283, LEC, Winter, 1, B, 2, MAD Lions KOI, GiantX, 1659, Myrwn, Akali, 8, 1, 4, 213.0, Elyoya, Sejuani, 1, 2, 16, 169.0, Fresskowy, Tristana, 11, 0, 5, 298.0, Supa, Senna, 2, 1, 18, 184.0, Alvaro, Braum, 0, 3, 16, 32.0, 9.0, 2.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT04_26359, LEC, Winter, 1, C, 1, MAD Lions KOI, Team Vitality, 1626, Myrwn, Twisted Fate, 4, 0, 6, 244.0, Elyoya, Vi, 3, 5, 14, 164.0, Fresskowy, Taliyah, 8, 1, 9, 236.0, Supa, Senna, 7, 4, 17, 174.0, Alvaro, Nautilus, 4, 4, 15, 27.0, 9.0, 2.0, 1.0, 1.0, 1, 1, 0.0
LOLTMNT04_26379, LEC, Winter, 1, C, 2, MAD Lions KOI, Team Vitality, 2006, Myrwn, Jayce, 3, 2, 2, 267.0, Elyoya, Brand, 0, 3, 12, 228.0, Fresskowy, Kai'Sa, 6, 2, 2, 240.0, Supa, Varus, 5, 2, 8, 330.0, Alvaro, Renata Glasc, 2, 1, 10, 35.0, 9.0, 1.0, 0.0, 2.0, 1, 1, 1.0
LOLTMNT04_26686, LEC, Winter, 1, D, 1, MAD Lions KOI, Fnatic, 1893, Myrwn, Akali, 7, 3, 4, 247.0, Elyoya, Xin Zhao, 4, 3, 10, 181.0, Fresskowy, Karma, 1, 0, 13, 235.0, Supa, Senna, 6, 0, 10, 269.0, Alvaro, Braum, 0, 8, 8, 38.0, 8.0, 1.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT04_28015, LEC, Winter, 1, D, 2, MAD Lions KOI, Fnatic, 1737, Myrwn, Gwen, 4, 6, 2, 221.0, Elyoya, Maokai, 0, 5, 5, 141.0, Fresskowy, Tristana, 1, 3, 1, 257.0, Supa, Aphelios, 0, 5, 1, 231.0, Alvaro, Blitzcrank, 1, 3, 4, 36.0, 5.0, 1.0, 1.0, 0.0, 0, 0, 0.0
LOLTMNT04_28019, LEC, Winter, 1, D, 3, MAD Lions KOI, Fnatic, 2233, Myrwn, Varus, 6, 5, 11, 258.0, Elyoya, Ivern, 3, 2, 24, 185.0, Fresskowy, Gragas, 8, 4, 11, 279.0, Supa, Kai'Sa, 14, 3, 10, 356.0, Alvaro, Nautilus, 0, 5, 22, 32.0, 10.0, 4.0, 1.0, 2.0, 1, 1, 1.0
LOLTMNT04_28022, LEC, Winter, 1, D, 4, MAD Lions KOI, Fnatic, 2481, Myrwn, Gnar, 1, 3, 5, 377.0, Elyoya, Xin Zhao, 1, 6, 7, 209.0, Fresskowy, Karma, 4, 5, 6, 270.0, Supa, Ezreal, 6, 4, 5, 383.0, Alvaro, Maokai, 0, 5, 6, 45.0, 5.0, 3.0, 1.0, 0.0, 0, 0, 1.0
