gameid, league, split, playoffs, series_num, game_num, ego_team, opp_team, gamelength, top_player, top_champion, top_primary_kills, top_primary_deaths, top_primary_assists, top_primary_total_cs, jgl_player, jgl_champion, jgl_primary_kills, jgl_primary_deaths, jgl_primary_assists, jgl_primary_total_cs, mid_player, mid_champion, mid_primary_kills, mid_primary_deaths, mid_primary_assists, mid_primary_total_cs, bot_player, bot_champion, bot_primary_kills, bot_primary_deaths, bot_primary_assists, bot_primary_total_cs, sup_player, sup_champion, sup_primary_kills, sup_primary_deaths, sup_primary_assists, sup_primary_total_cs, constant_turrets, constant_dragons, constant_heralds, constant_barons, constant_win, constant_win_under_30, constant_first_blood
LOLTMNT01_154610, LLA, Closing, 1, A, 1, Movistar R7, Estral Esports, 2430, Summit, Gnar, 3, 3, 4, 369.0, Oddie, Vi, 1, 6, 8, 232.0, Keine, LeBlanc, 2, 1, 3, 357.0, Ceo, Ezreal, 4, 2, 2, 414.0, Lyonz, Leona, 1, 4, 6, 51.0, 5.0, 3.0, 1.0, 0.0, 0, 0, 0.0
LOLTMNT01_154613, LLA, Closing, 1, A, 2, Movistar R7, Estral Esports, 1775, Summit, Renekton, 0, 5, 1, 248.0, Oddie, Zyra, 0, 2, 6, 183.0, Keine, Lucian, 3, 3, 2, 281.0, Ceo, Ezreal, 4, 3, 3, 267.0, Lyonz, Nautilus, 2, 5, 4, 42.0, 3.0, 2.0, 1.0, 0.0, 0, 0, 1.0
LOLTMNT01_154623, LLA, Closing, 1, A, 3, Movistar R7, Estral Esports, 2067, Summit, K'Sante, 2, 3, 8, 295.0, Oddie, Brand, 4, 3, 10, 213.0, Keine, Corki, 7, 1, 8, 333.0, Ceo, Xayah, 9, 1, 4, 354.0, Lyonz, Nautilus, 0, 3, 13, 41.0, 10.0, 4.0, 0.0, 1.0, 1, 1, 1.0
LOLTMNT01_153752, LLA, Closing, 1, A, 4, Movistar R7, Estral Esports, 2162, Summit, Poppy, 1, 2, 6, 270.0, Oddie, Brand, 6, 4, 5, 243.0, Keine, Tristana, 3, 3, 5, 345.0, Ceo, Kai'Sa, 3, 1, 6, 359.0, Lyonz, Rell, 0, 4, 12, 50.0, 10.0, 2.0, 1.0, 2.0, 1, 1, 1.0
LOLTMNT01_154630, LLA, Closing, 1, A, 5, Movistar R7, Estral Esports, 2096, Summit, Gnar, 3, 3, 6, 320.0, Oddie, Brand, 4, 2, 12, 238.0, Keine, Lucian, 3, 0, 12, 337.0, Ceo, Draven, 7, 2, 6, 302.0, Lyonz, Nautilus, 0, 2, 11, 54.0, 10.0, 3.0, 1.0, 1.0, 1, 1, 0.0
LOLTMNT02_150228, LLA, Closing, 1, B, 1, Movistar R7, Isurus, 1626, Summit, K'Sante, 5, 2, 9, 190.0, Oddie, Brand, 3, 1, 10, 192.0, Keine, Tristana, 4, 0, 8, 268.0, Ceo, Kai'Sa, 8, 1, 6, 262.0, Lyonz, Rell, 0, 3, 17, 36.0, 11.0, 2.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT02_149248, LLA, Closing, 1, B, 2, Movistar R7, Isurus, 1692, Summit, Aatrox, 6, 3, 7, 245.0, Oddie, Zyra, 4, 1, 9, 201.0, Keine, Corki, 5, 2, 8, 247.0, Ceo, Ashe, 6, 0, 9, 233.0, Lyonz, Rakan, 1, 3, 14, 27.0, 9.0, 2.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT02_149263, LLA, Closing, 1, B, 3, Movistar R7, Isurus, 1438, Summit, Poppy, 0, 7, 3, 156.0, Oddie, Maokai, 0, 5, 4, 133.0, Keine, Tristana, 1, 4, 2, 192.0, Ceo, Ashe, 3, 4, 2, 195.0, Lyonz, Renata Glasc, 2, 3, 4, 32.0, 2.0, 0.0, 0.0, 0.0, 0, 0, 0.0
LOLTMNT02_150265, LLA, Closing, 1, B, 4, Movistar R7, Isurus, 2045, Summit, Jayce, 2, 3, 7, 291.0, Oddie, Nidalee, 4, 1, 9, 234.0, Keine, Lucian, 4, 1, 8, 317.0, Ceo, Xayah, 4, 0, 1, 347.0, Lyonz, Nautilus, 0, 6, 8, 43.0, 10.0, 4.0, 1.0, 2.0, 1, 1, 1.0
LOLTMNT02_161375, LLA, Closing, 1, C, 1, Movistar R7, INFINITY, 2855, Summit, Rumble, 5, 5, 17, 378.0, Oddie, Brand, 10, 6, 14, 306.0, Keine, Corki, 8, 4, 14, 416.0, Ceo, Kai'Sa, 7, 2, 8, 444.0, Lyonz, Alistar, 0, 6, 19, 34.0, 8.0, 4.0, 1.0, 2.0, 1, 1, 0.0
LOLTMNT02_161378, LLA, Closing, 1, C, 2, Movistar R7, INFINITY, 1944, Summit, Camille, 7, 2, 6, 298.0, Oddie, Brand, 7, 2, 13, 206.0, Keine, Lucian, 8, 0, 10, 298.0, Ceo, Kai'Sa, 6, 2, 10, 295.0, Lyonz, Rell, 3, 5, 15, 35.0, 10.0, 2.0, 0.0, 1.0, 1, 1, 0.0
LOLTMNT02_162357, LLA, Closing, 1, C, 3, Movistar R7, INFINITY, 1969, Summit, Kennen, 4, 4, 12, 235.0, Oddie, Poppy, 3, 2, 23, 148.0, Keine, Corki, 12, 3, 11, 291.0, Ceo, Xayah, 12, 2, 11, 316.0, Lyonz, Rell, 0, 4, 26, 22.0, 10.0, 3.0, 1.0, 1.0, 1, 1, 1.0
