gameid, league, split, playoffs, series_num, game_num, ego_team, opp_team, gamelength, top_player, top_champion, top_primary_kills, top_primary_deaths, top_primary_assists, top_primary_total_cs, jgl_player, jgl_champion, jgl_primary_kills, jgl_primary_deaths, jgl_primary_assists, jgl_primary_total_cs, mid_player, mid_champion, mid_primary_kills, mid_primary_deaths, mid_primary_assists, mid_primary_total_cs, bot_player, bot_champion, bot_primary_kills, bot_primary_deaths, bot_primary_assists, bot_primary_total_cs, sup_player, sup_champion, sup_primary_kills, sup_primary_deaths, sup_primary_assists, sup_primary_total_cs, constant_turrets, constant_dragons, constant_heralds, constant_barons, constant_win, constant_win_under_30, constant_first_blood
LOLTMNT01_120054, LLA, Closing, 0, A, 1, Movistar R7, Estral Esports, 2140, Summit, Jax, 1, 4, 7, 276.0, Oddie, Taliyah, 6, 2, 12, 263.0, Keine, Tristana, 8, 1, 9, 358.0, Ceo, Senna, 3, 1, 15, 49.0, Lyonz, Nautilus, 3, 0, 12, 219.0, 10.0, 4.0, 0.0, 1.0, 1, 1, 1.0
LOLTMNT01_119128, LLA, Closing, 0, A, 2, Movistar R7, Estral Esports, 1883, Summit, K'Sante, 0, 5, 4, 212.0, Oddie, Xin Zhao, 2, 4, 5, 169.0, Keine, LeBlanc, 7, 5, 4, 220.0, Ceo, Draven, 4, 4, 6, 251.0, Lyonz, Rell, 3, 6, 7, 25.0, 3.0, 3.0, 0.0, 0.0, 0, 0, 1.0
LOLTMNT01_120895, LLA, Closing, 0, B, 1, Movistar R7, Six Karma, 1784, Summit, Twisted Fate, 1, 1, 3, 284.0, Oddie, Rek'Sai, 6, 2, 6, 191.0, Keine, Hwei, 6, 1, 7, 293.0, Ceo, Senna, 0, 0, 13, 42.0, Lyonz, Nautilus, 1, 2, 10, 210.0, 8.0, 2.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT01_119981, LLA, Closing, 0, B, 2, Movistar R7, Six Karma, 1787, Summit, Gnar, 2, 1, 6, 282.0, Oddie, Brand, 5, 1, 8, 227.0, Keine, Corki, 4, 0, 9, 310.0, Ceo, Senna, 3, 2, 9, 55.0, Lyonz, Nautilus, 1, 5, 7, 161.0, 9.0, 3.0, 0.0, 1.0, 1, 1, 0.0
LOLTMNT02_109275, LLA, Closing, 0, C, 1, Movistar R7, Isurus, 1822, Summit, Twisted Fate, 4, 3, 4, 278.0, Oddie, Lillia, 1, 2, 9, 222.0, Keine, Corki, 3, 0, 6, 289.0, Ceo, Smolder, 5, 0, 4, 291.0, Lyonz, Nautilus, 0, 1, 6, 36.0, 9.0, 2.0, 0.0, 2.0, 1, 1, 1.0
LOLTMNT02_109292, LLA, Closing, 0, C, 2, Movistar R7, Isurus, 2101, Summit, Renekton, 4, 5, 9, 308.0, Oddie, Brand, 7, 3, 10, 249.0, Keine, Corki, 5, 6, 8, 282.0, Ceo, Kalista, 2, 3, 7, 281.0, Lyonz, Alistar, 3, 2, 15, 28.0, 8.0, 2.0, 1.0, 0.0, 1, 1, 0.0
LOLTMNT02_108855, LLA, Closing, 0, D, 1, Movistar R7, INFINITY, 1415, Summit, Gnar, 0, 5, 3, 177.0, Oddie, Maokai, 1, 6, 4, 130.0, Keine, Corki, 0, 2, 3, 253.0, Ceo, Senna, 4, 2, 2, 51.0, Lyonz, Nautilus, 1, 4, 3, 149.0, 1.0, 2.0, 0.0, 0.0, 0, 0, 0.0
LOLTMNT02_108863, LLA, Closing, 0, D, 2, Movistar R7, INFINITY, 1437, Summit, Renekton, 3, 1, 5, 226.0, Oddie, Vi, 3, 2, 9, 168.0, Keine, Hwei, 6, 0, 6, 222.0, Ceo, Draven, 6, 1, 4, 227.0, Lyonz, Nautilus, 1, 0, 12, 28.0, 9.0, 3.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT02_119798, LLA, Closing, 0, E, 1, Movistar R7, Leviatan, 1301, Summit, Skarner, 4, 1, 6, 169.0, Oddie, Zyra, 4, 1, 8, 153.0, Keine, Tristana, 5, 0, 6, 213.0, Ceo, Zeri, 3, 1, 5, 212.0, Lyonz, Leona, 0, 0, 9, 29.0, 9.0, 1.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT02_120788, LLA, Closing, 0, E, 2, Movistar R7, Leviatan, 2215, Summit, Skarner, 0, 6, 5, 249.0, Oddie, Sejuani, 4, 8, 6, 174.0, Keine, Corki, 5, 4, 5, 356.0, Ceo, Ezreal, 3, 3, 4, 358.0, Lyonz, Braum, 1, 7, 10, 32.0, 3.0, 3.0, 0.0, 0.0, 0, 0, 1.0
