gameid, league, split, playoffs, series_num, game_num, ego_team, opp_team, gamelength, top_player, top_champion, top_primary_kills, top_primary_deaths, top_primary_assists, top_primary_total_cs, jgl_player, jgl_champion, jgl_primary_kills, jgl_primary_deaths, jgl_primary_assists, jgl_primary_total_cs, mid_player, mid_champion, mid_primary_kills, mid_primary_deaths, mid_primary_assists, mid_primary_total_cs, bot_player, bot_champion, bot_primary_kills, bot_primary_deaths, bot_primary_assists, bot_primary_total_cs, sup_player, sup_champion, sup_primary_kills, sup_primary_deaths, sup_primary_assists, sup_primary_total_cs, constant_turrets, constant_dragons, constant_heralds, constant_barons, constant_win, constant_win_under_30, constant_first_blood
LOLTMNT03_48663, LLA, Opening, 1, A, 1, Movistar R7, Isurus, 2451, Summit, Rumble, 4, 2, 12, 352.0, Oddie, Viego, 5, 1, 7, 256.0, Lava, Twisted Fate, 6, 4, 10, 339.0, Ceo, Senna, 5, 3, 11, 84.0, Lyonz, Tahm Kench, 0, 3, 14, 236.0, 11.0, 4.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT03_48667, LLA, Opening, 1, A, 2, Movistar R7, Isurus, 1698, Summit, Gnar, 5, 2, 3, 267.0, Oddie, Poppy, 2, 2, 10, 151.0, Lava, Ahri, 4, 1, 8, 227.0, Ceo, Draven, 7, 0, 7, 236.0, Lyonz, Rell, 1, 1, 15, 35.0, 7.0, 3.0, 0.0, 1.0, 1, 1, 1.0
LOLTMNT03_48668, LLA, Opening, 1, A, 3, Movistar R7, Isurus, 1988, Summit, K'Sante, 5, 3, 7, 245.0, Oddie, Maokai, 0, 3, 16, 160.0, Lava, Tristana, 11, 4, 8, 260.0, Ceo, Lucian, 6, 3, 7, 300.0, Lyonz, Milio, 2, 1, 16, 41.0, 9.0, 3.0, 0.0, 1.0, 1, 1, 0.0
LOLTMNT01_71719, LLA, Opening, 1, B, 1, Movistar R7, Estral Esports, 1615, Summit, Aatrox, 5, 0, 6, 218.0, Oddie, Sejuani, 3, 0, 13, 147.0, Lava, Corki, 9, 0, 5, 259.0, Ceo, Xayah, 1, 0, 7, 276.0, Lyonz, Rakan, 0, 0, 13, 27.0, 10.0, 2.0, 0.0, 1.0, 1, 1, 1.0
LOLTMNT01_72338, LLA, Opening, 1, B, 2, Movistar R7, Estral Esports, 1520, Summit, Gragas, 2, 0, 5, 246.0, Oddie, Sejuani, 1, 2, 15, 136.0, Lava, Jayce, 13, 0, 6, 216.0, Ceo, Xayah, 3, 0, 8, 262.0, Lyonz, Rell, 1, 1, 13, 30.0, 9.0, 4.0, 0.0, 0.0, 1, 1, 0.0
LOLTMNT01_71755, LLA, Opening, 1, B, 3, Movistar R7, Estral Esports, 2263, Summit, Jax, 0, 5, 10, 313.0, Oddie, Vi, 4, 7, 6, 176.0, Lava, Ahri, 7, 4, 4, 321.0, Ceo, Lucian, 2, 5, 6, 297.0, Lyonz, Milio, 0, 3, 11, 29.0, 3.0, 2.0, 0.0, 0.0, 0, 0, 0.0
LOLTMNT01_71770, LLA, Opening, 1, B, 4, Movistar R7, Estral Esports, 1804, Summit, Gragas, 1, 3, 1, 248.0, Oddie, Viego, 2, 2, 1, 165.0, Lava, Annie, 1, 3, 2, 232.0, Ceo, Kalista, 1, 3, 0, 265.0, Lyonz, Rell, 0, 3, 2, 30.0, 3.0, 0.0, 0.0, 0.0, 0, 0, 1.0
LOLTMNT01_71775, LLA, Opening, 1, B, 5, Movistar R7, Estral Esports, 2077, Summit, Jayce, 5, 8, 1, 313.0, Oddie, Maokai, 3, 4, 5, 175.0, Lava, Taliyah, 1, 7, 5, 269.0, Ceo, Varus, 0, 5, 5, 314.0, Lyonz, Nautilus, 0, 4, 7, 41.0, 4.0, 1.0, 1.0, 1.0, 0, 0, 1.0
LOLTMNT01_78311, LLA, Opening, 1, C, 1, Movistar R7, Isurus, 2342, Summit, Irelia, 5, 9, 2, 359.0, Oddie, Sejuani, 1, 3, 5, 203.0, Lava, Corki, 1, 3, 7, 343.0, Ceo, Varus, 3, 3, 3, 342.0, Lyonz, Nautilus, 0, 7, 9, 38.0, 2.0, 2.0, 0.0, 0.0, 0, 0, 0.0
LOLTMNT01_78315, LLA, Opening, 1, C, 2, Movistar R7, Isurus, 2119, Summit, Jayce, 5, 6, 13, 307.0, Oddie, Sejuani, 7, 3, 15, 177.0, Lava, Taliyah, 5, 2, 16, 258.0, Ceo, Zeri, 9, 1, 11, 340.0, Lyonz, Rell, 2, 4, 23, 25.0, 10.0, 5.0, 1.0, 2.0, 1, 1, 0.0
