gameid, league, split, playoffs, series_num, game_num, ego_team, opp_team, gamelength, top_player, top_champion, top_primary_kills, top_primary_deaths, top_primary_assists, top_primary_total_cs, jgl_player, jgl_champion, jgl_primary_kills, jgl_primary_deaths, jgl_primary_assists, jgl_primary_total_cs, mid_player, mid_champion, mid_primary_kills, mid_primary_deaths, mid_primary_assists, mid_primary_total_cs, bot_player, bot_champion, bot_primary_kills, bot_primary_deaths, bot_primary_assists, bot_primary_total_cs, sup_player, sup_champion, sup_primary_kills, sup_primary_deaths, sup_primary_assists, sup_primary_total_cs, constant_turrets, constant_dragons, constant_heralds, constant_barons, constant_win, constant_win_under_30, constant_first_blood
LOLTMNT03_32083, LLA, Opening, 0, A, 1, Movistar R7, Estral Esports, 1825, Summit, Jax, 1, 3, 1, 307.0, Oddie, Nocturne, 1, 3, 3, 199.0, Lava, Akali, 3, 6, 2, 215.0, Ceo, Zeri, 1, 3, 1, 296.0, Lyonz, Lulu, 0, 5, 3, 30.0, 4.0, 0.0, 1.0, 0.0, 0, 0, 0.0
LOLTMNT03_31152, LLA, Opening, 0, A, 2, Movistar R7, Estral Esports, 1763, Summit, Jax, 4, 3, 3, 239.0, Oddie, Rell, 1, 6, 6, 125.0, Lava, Azir, 0, 6, 3, 236.0, Ceo, Lucian, 3, 4, 0, 273.0, Lyonz, Milio, 0, 6, 5, 27.0, 4.0, 0.0, 0.0, 0.0, 0, 0, 0.0
LOLTMNT03_32335, LLA, Opening, 0, B, 1, Movistar R7, Six Karma, 1556, Summit, Aatrox, 5, 2, 4, 255.0, Oddie, Xin Zhao, 4, 1, 8, 168.0, Lava, Orianna, 3, 2, 11, 230.0, Ceo, Caitlyn, 0, 0, 9, 259.0, Lyonz, Varus, 4, 2, 7, 44.0, 10.0, 4.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT03_32337, LLA, Opening, 0, B, 2, Movistar R7, Six Karma, 1489, Summit, Gnar, 4, 1, 12, 244.0, Oddie, Nocturne, 4, 2, 3, 160.0, Lava, Neeko, 5, 3, 8, 202.0, Ceo, Kalista, 5, 0, 4, 255.0, Lyonz, Rakan, 2, 1, 14, 38.0, 8.0, 2.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT01_35686, LLA, Opening, 0, C, 1, Movistar R7, INFINITY, 1991, Summit, Gnar, 4, 2, 4, 285.0, Oddie, Poppy, 0, 1, 4, 165.0, Lava, Taliyah, 2, 1, 3, 347.0, Ceo, Varus, 4, 0, 2, 385.0, Lyonz, Renata Glasc, 0, 0, 7, 52.0, 11.0, 4.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT01_35693, LLA, Opening, 0, C, 2, Movistar R7, INFINITY, 1775, Summit, Aatrox, 3, 1, 2, 284.0, Oddie, Maokai, 0, 1, 7, 145.0, Lava, Tristana, 4, 1, 3, 315.0, Ceo, Lucian, 3, 1, 4, 282.0, Lyonz, Milio, 1, 0, 8, 49.0, 10.0, 4.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT02_31234, LLA, Opening, 0, D, 1, Movistar R7, Isurus, 1465, Summit, Jayce, 5, 2, 4, 217.0, Oddie, Maokai, 3, 0, 14, 130.0, Lava, Tristana, 4, 1, 3, 220.0, Ceo, Draven, 6, 2, 7, 213.0, Lyonz, Renata Glasc, 1, 0, 14, 34.0, 10.0, 2.0, 1.0, 1.0, 1, 1, 0.0
LOLTMNT02_31239, LLA, Opening, 0, D, 2, Movistar R7, Isurus, 1886, Summit, K'Sante, 6, 2, 10, 265.0, Oddie, Xin Zhao, 4, 2, 11, 166.0, Lava, Corki, 9, 1, 9, 284.0, Ceo, Ashe, 5, 1, 11, 289.0, Lyonz, Milio, 0, 1, 21, 28.0, 11.0, 3.0, 0.0, 0.0, 1, 1, 1.0
LOLTMNT01_42560, LLA, Opening, 0, E, 1, Movistar R7, Leviatan, 1696, Summit, Akali, 3, 2, 8, 244.0, Oddie, Maokai, 1, 1, 11, 148.0, Lava, Jayce, 8, 0, 4, 286.0, Ceo, Kalista, 5, 0, 5, 266.0, Lyonz, Renata Glasc, 0, 1, 12, 28.0, 10.0, 3.0, 0.0, 1.0, 1, 1, 1.0
LOLTMNT01_42974, LLA, Opening, 0, F, 1, Movistar R7, All Knights, 1564, Summit, Aatrox, 5, 2, 8, 200.0, Oddie, Vi, 5, 0, 14, 143.0, Lava, Taliyah, 8, 1, 15, 256.0, Ceo, Kalista, 7, 0, 11, 235.0, Lyonz, Renata Glasc, 1, 1, 18, 34.0, 11.0, 4.0, 1.0, 1.0, 1, 1, 0.0
