gameid, league, split, playoffs, series_num, game_num, ego_team, opp_team, gamelength, top_player, top_champion, top_primary_kills, top_primary_deaths, top_primary_assists, top_primary_total_cs, jgl_player, jgl_champion, jgl_primary_kills, jgl_primary_deaths, jgl_primary_assists, jgl_primary_total_cs, mid_player, mid_champion, mid_primary_kills, mid_primary_deaths, mid_primary_assists, mid_primary_total_cs, bot_player, bot_champion, bot_primary_kills, bot_primary_deaths, bot_primary_assists, bot_primary_total_cs, sup_player, sup_champion, sup_primary_kills, sup_primary_deaths, sup_primary_assists, sup_primary_total_cs, constant_turrets, constant_dragons, constant_heralds, constant_barons, constant_win, constant_win_under_30, constant_first_blood
LOLTMNT01_72502, PCS, Spring, 1, A, 1, PSG Talon, Beyond Gaming, 1649, Azhi, Renekton, 2, 3, 0, 238.0, JunJia, Xin Zhao, 1, 4, 2, 158.0, Maple, Ahri, 0, 1, 4, 228.0, Betty, Kalista, 0, 2, 1, 239.0, Woody, Neeko, 1, 4, 1, 31.0, 1.0, 1.0, 0.0, 0.0, 0, 0, 0.0
LOLTMNT01_71899, PCS, Spring, 1, A, 2, PSG Talon, Beyond Gaming, 1475, Azhi, K'Sante, 6, 0, 6, 193.0, JunJia, Volibear, 2, 2, 13, 126.0, Maple, Ahri, 8, 1, 9, 220.0, Betty, Kalista, 1, 2, 14, 213.0, Woody, Ashe, 4, 0, 16, 32.0, 9.0, 2.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT01_71921, PCS, Spring, 1, A, 3, PSG Talon, Beyond Gaming, 1582, Azhi, Twisted Fate, 5, 1, 9, 217.0, JunJia, Xin Zhao, 1, 3, 14, 152.0, Maple, Ahri, 5, 2, 10, 178.0, Betty, Zeri, 8, 2, 9, 289.0, Woody, Alistar, 3, 1, 13, 25.0, 9.0, 4.0, 1.0, 1.0, 1, 1, 0.0
LOLTMNT01_72555, PCS, Spring, 1, A, 4, PSG Talon, Beyond Gaming, 1977, Azhi, Renekton, 5, 1, 9, 315.0, JunJia, Wukong, 6, 2, 11, 212.0, Maple, Ahri, 3, 0, 19, 295.0, Betty, Zeri, 10, 2, 12, 350.0, Woody, Rakan, 0, 3, 23, 35.0, 9.0, 4.0, 1.0, 1.0, 1, 1, 0.0
LOLTMNT01_75778, PCS, Spring, 1, B, 1, PSG Talon, Fukuoka SoftBank HAWKS gaming, 1884, Azhi, Renekton, 1, 1, 13, 265.0, JunJia, Wukong, 12, 2, 7, 191.0, Maple, Ahri, 1, 0, 12, 276.0, Betty, Smolder, 8, 1, 6, 343.0, Woody, Braum, 1, 1, 17, 24.0, 10.0, 2.0, 0.0, 1.0, 1, 1, 0.0
LOLTMNT01_76431, PCS, Spring, 1, B, 2, PSG Talon, Fukuoka SoftBank HAWKS gaming, 2018, Azhi, Udyr, 2, 5, 5, 181.0, JunJia, Taliyah, 0, 4, 5, 222.0, Maple, Tristana, 3, 1, 2, 364.0, Betty, Smolder, 4, 2, 3, 330.0, Woody, Nautilus, 0, 5, 5, 33.0, 2.0, 2.0, 0.0, 0.0, 0, 0, 1.0
LOLTMNT01_76438, PCS, Spring, 1, B, 3, PSG Talon, Fukuoka SoftBank HAWKS gaming, 1429, Azhi, Rumble, 1, 3, 3, 180.0, JunJia, Vi, 2, 0, 6, 150.0, Maple, Karma, 4, 0, 6, 217.0, Betty, Smolder, 5, 1, 2, 255.0, Woody, Alistar, 0, 0, 8, 32.0, 7.0, 2.0, 0.0, 1.0, 1, 1, 1.0
LOLTMNT01_76449, PCS, Spring, 1, B, 4, PSG Talon, Fukuoka SoftBank HAWKS gaming, 1822, Azhi, Udyr, 0, 4, 3, 211.0, JunJia, Vi, 1, 7, 4, 168.0, Maple, Hwei, 1, 3, 3, 290.0, Betty, Lucian, 5, 4, 1, 267.0, Woody, Nami, 0, 2, 6, 13.0, 2.0, 1.0, 1.0, 0.0, 0, 0, 1.0
LOLTMNT01_76463, PCS, Spring, 1, B, 5, PSG Talon, Fukuoka SoftBank HAWKS gaming, 2282, Azhi, K'Sante, 3, 4, 13, 234.0, JunJia, Viego, 4, 2, 11, 250.0, Maple, Neeko, 5, 2, 9, 319.0, Betty, Kalista, 7, 1, 10, 364.0, Woody, Nautilus, 1, 4, 17, 36.0, 10.0, 3.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT01_79489, PCS, Spring, 1, C, 1, PSG Talon, CTBC Flying Oyster, 1544, Azhi, Rumble, 5, 0, 6, 212.0, JunJia, Maokai, 0, 1, 14, 164.0, Maple, Tristana, 6, 0, 5, 241.0, Betty, Lucian, 3, 1, 5, 266.0, Woody, Nami, 2, 1, 11, 29.0, 8.0, 3.0, 0.0, 1.0, 1, 1, 0.0
LOLTMNT01_79501, PCS, Spring, 1, C, 2, PSG Talon, CTBC Flying Oyster, 1953, Azhi, Udyr, 1, 1, 10, 247.0, JunJia, Wukong, 4, 1, 12, 225.0, Maple, Akali, 5, 2, 8, 243.0, Betty, Lucian, 8, 1, 8, 333.0, Woody, Nami, 0, 0, 15, 35.0, 9.0, 4.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT01_80118, PCS, Spring, 1, C, 3, PSG Talon, CTBC Flying Oyster, 1849, Azhi, Udyr, 3, 3, 11, 189.0, JunJia, Xin Zhao, 5, 2, 11, 198.0, Maple, Taliyah, 7, 2, 12, 289.0, Betty, Senna, 6, 1, 15, 76.0, Woody, Nautilus, 1, 3, 12, 218.0, 7.0, 4.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT01_82650, PCS, Spring, 1, D, 1, PSG Talon, Fukuoka SoftBank HAWKS gaming, 1748, Azhi, Rumble, 4, 1, 9, 255.0, JunJia, Xin Zhao, 2, 0, 11, 193.0, Maple, Ahri, 4, 0, 9, 268.0, Betty, Zeri, 4, 1, 8, 355.0, Woody, Rakan, 1, 2, 11, 36.0, 8.0, 4.0, 1.0, 1.0, 1, 1, 0.0
LOLTMNT01_82651, PCS, Spring, 1, D, 2, PSG Talon, Fukuoka SoftBank HAWKS gaming, 1538, Azhi, Rek'Sai, 3, 0, 11, 190.0, JunJia, Xin Zhao, 11, 0, 12, 176.0, Maple, Karma, 6, 3, 11, 215.0, Betty, Smolder, 6, 1, 8, 290.0, Woody, Rakan, 1, 0, 20, 41.0, 11.0, 3.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT01_82652, PCS, Spring, 1, D, 3, PSG Talon, Fukuoka SoftBank HAWKS gaming, 1712, Azhi, Rumble, 5, 1, 10, 231.0, JunJia, Vi, 5, 3, 8, 179.0, Maple, Taliyah, 4, 1, 10, 282.0, Betty, Zeri, 5, 1, 1, 307.0, Woody, Alistar, 3, 0, 15, 33.0, 9.0, 4.0, 1.0, 1.0, 1, 1, 1.0
