gameid, league, split, playoffs, series_num, game_num, ego_team, opp_team, gamelength, top_player, top_champion, top_primary_kills, top_primary_deaths, top_primary_assists, top_primary_total_cs, jgl_player, jgl_champion, jgl_primary_kills, jgl_primary_deaths, jgl_primary_assists, jgl_primary_total_cs, mid_player, mid_champion, mid_primary_kills, mid_primary_deaths, mid_primary_assists, mid_primary_total_cs, bot_player, bot_champion, bot_primary_kills, bot_primary_deaths, bot_primary_assists, bot_primary_total_cs, sup_player, sup_champion, sup_primary_kills, sup_primary_deaths, sup_primary_assists, sup_primary_total_cs, constant_turrets, constant_dragons, constant_heralds, constant_barons, constant_win, constant_win_under_30, constant_first_blood
LOLTMNT02_29779, PCS, Spring, 0, A, 1, PSG Talon, J Team, 1862, Azhi, Udyr, 0, 2, 8, 228.0, JunJia, Nocturne, 6, 1, 4, 215.0, Maple, Azir, 3, 0, 3, 325.0, Betty, Lucian, 5, 1, 1, 316.0, Woody, Milio, 0, 1, 8, 72.0, 9.0, 3.0, 0.0, 1.0, 1, 1, 1.0
LOLTMNT02_29796, PCS, Spring, 0, A, 2, PSG Talon, J Team, 1558, Azhi, Udyr, 3, 1, 9, 214.0, JunJia, Nocturne, 4, 2, 9, 189.0, Maple, Neeko, 6, 1, 4, 235.0, Betty, Caitlyn, 9, 0, 6, 243.0, Woody, Bard, 0, 2, 18, 33.0, 9.0, 2.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT02_34015, PCS, Spring, 0, B, 1, PSG Talon, Frank Esports, 2047, Azhi, Udyr, 1, 3, 2, 258.0, JunJia, Maokai, 0, 5, 2, 168.0, Maple, Tristana, 1, 4, 1, 323.0, Betty, Aphelios, 3, 2, 1, 352.0, Woody, Renata Glasc, 0, 2, 4, 41.0, 6.0, 2.0, 1.0, 0.0, 0, 0, 1.0
LOLTMNT02_34042, PCS, Spring, 0, B, 2, PSG Talon, Frank Esports, 1855, Azhi, Udyr, 4, 0, 5, 229.0, JunJia, Nocturne, 6, 0, 4, 210.0, Maple, Orianna, 0, 1, 8, 286.0, Betty, Aphelios, 2, 0, 4, 291.0, Woody, Milio, 0, 1, 8, 51.0, 7.0, 3.0, 1.0, 0.0, 1, 1, 1.0
LOLTMNT02_34052, PCS, Spring, 0, B, 3, PSG Talon, Frank Esports, 2193, Azhi, Udyr, 2, 5, 5, 237.0, JunJia, Nocturne, 1, 4, 5, 203.0, Maple, Akali, 3, 6, 3, 280.0, Betty, Varus, 2, 2, 2, 373.0, Woody, Renata Glasc, 0, 3, 7, 41.0, 3.0, 3.0, 1.0, 1.0, 0, 0, 0.0
LOLTMNT01_41718, PCS, Spring, 0, C, 1, PSG Talon, West Point Esports, 1653, Azhi, Aatrox, 3, 3, 8, 207.0, JunJia, Maokai, 2, 1, 13, 164.0, Maple, Azir, 3, 0, 9, 273.0, Betty, Lucian, 11, 1, 2, 257.0, Woody, Milio, 1, 1, 17, 26.0, 11.0, 3.0, 1.0, 1.0, 1, 1, 0.0
LOLTMNT01_41731, PCS, Spring, 0, C, 2, PSG Talon, West Point Esports, 1567, Azhi, Aatrox, 9, 1, 4, 243.0, JunJia, Rell, 0, 4, 10, 138.0, Maple, Twisted Fate, 2, 2, 8, 232.0, Betty, Lucian, 1, 2, 5, 216.0, Woody, Milio, 2, 0, 7, 37.0, 11.0, 1.0, 0.0, 1.0, 1, 1, 0.0
LOLTMNT01_43731, PCS, Spring, 0, D, 1, PSG Talon, Beyond Gaming, 1555, Azhi, Aatrox, 3, 0, 3, 235.0, JunJia, Maokai, 1, 3, 18, 145.0, Maple, Corki, 3, 2, 12, 256.0, Betty, Caitlyn, 13, 0, 9, 260.0, Woody, Lux, 3, 1, 19, 33.0, 11.0, 3.0, 1.0, 1.0, 1, 1, 0.0
LOLTMNT01_43766, PCS, Spring, 0, D, 2, PSG Talon, Beyond Gaming, 1750, Azhi, Udyr, 2, 1, 13, 201.0, JunJia, Vi, 4, 1, 13, 185.0, Maple, Taliyah, 7, 0, 13, 301.0, Betty, Caitlyn, 11, 3, 4, 274.0, Woody, Lux, 2, 0, 19, 33.0, 10.0, 2.0, 0.0, 2.0, 1, 1, 1.0
LOLTMNT01_58336, PCS, Spring, 0, E, 1, PSG Talon, CTBC Flying Oyster, 1489, Azhi, Aatrox, 0, 4, 1, 244.0, JunJia, Viego, 3, 4, 1, 168.0, Maple, Azir, 1, 5, 1, 216.0, Betty, Senna, 0, 4, 4, 64.0, Woody, Nautilus, 0, 4, 3, 189.0, 0.0, 2.0, 0.0, 0.0, 0, 0, 0.0
