gameid, league, split, playoffs, series_num, game_num, ego_team, opp_team, gamelength, top_player, top_champion, top_primary_kills, top_primary_deaths, top_primary_assists, top_primary_total_cs, jgl_player, jgl_champion, jgl_primary_kills, jgl_primary_deaths, jgl_primary_assists, jgl_primary_total_cs, mid_player, mid_champion, mid_primary_kills, mid_primary_deaths, mid_primary_assists, mid_primary_total_cs, bot_player, bot_champion, bot_primary_kills, bot_primary_deaths, bot_primary_assists, bot_primary_total_cs, sup_player, sup_champion, sup_primary_kills, sup_primary_deaths, sup_primary_assists, sup_primary_total_cs, constant_turrets, constant_dragons, constant_heralds, constant_barons, constant_win, constant_win_under_30, constant_first_blood
LOLTMNT01_127107, PCS, Summer, 0, A, 1, PSG Talon, West Point Esports, 1623, Azhi, Twisted Fate, 5, 2, 9, 226.0, JunJia, Nidalee, 6, 3, 9, 202.0, Maple, Tristana, 4, 1, 4, 271.0, Betty, Senna, 2, 2, 14, 53.0, Woody, Ornn, 1, 1, 10, 213.0, 8.0, 3.0, 1.0, 0.0, 1, 1, 1.0
LOLTMNT01_126151, PCS, Summer, 0, A, 2, PSG Talon, West Point Esports, 1698, Azhi, Mordekaiser, 6, 1, 6, 272.0, JunJia, Lillia, 3, 3, 7, 232.0, Maple, Tristana, 6, 4, 6, 287.0, Betty, Corki, 4, 0, 5, 293.0, Woody, Nautilus, 0, 4, 11, 21.0, 9.0, 3.0, 1.0, 1.0, 1, 1, 0.0
LOLTMNT01_126620, PCS, Summer, 0, B, 1, PSG Talon, J Team, 1525, Azhi, Twisted Fate, 4, 0, 6, 252.0, JunJia, Skarner, 3, 0, 8, 186.0, Maple, Hwei, 4, 2, 9, 240.0, Betty, Zeri, 2, 0, 3, 293.0, Woody, Rell, 2, 0, 12, 21.0, 9.0, 2.0, 0.0, 1.0, 1, 1, 1.0
LOLTMNT01_126644, PCS, Summer, 0, B, 2, PSG Talon, J Team, 1466, Azhi, Kennen, 4, 0, 9, 230.0, JunJia, Skarner, 3, 1, 13, 156.0, Maple, Tristana, 4, 2, 7, 235.0, Betty, Jhin, 9, 1, 3, 260.0, Woody, Leona, 0, 1, 10, 28.0, 9.0, 2.0, 0.0, 1.0, 1, 1, 1.0
LOLTMNT02_114316, PCS, Summer, 0, C, 1, PSG Talon, Deep Cross Gaming, 1705, Azhi, Skarner, 1, 0, 8, 219.0, JunJia, Karthus, 7, 1, 12, 274.0, Maple, Corki, 5, 0, 10, 262.0, Betty, Jhin, 9, 0, 9, 269.0, Woody, Leona, 2, 5, 14, 29.0, 10.0, 2.0, 0.0, 1.0, 1, 1, 0.0
LOLTMNT02_114361, PCS, Summer, 0, C, 2, PSG Talon, Deep Cross Gaming, 1581, Azhi, Udyr, 3, 2, 4, 189.0, JunJia, Zyra, 4, 2, 7, 228.0, Maple, Corki, 4, 0, 6, 235.0, Betty, Ashe, 6, 0, 4, 252.0, Woody, Rell, 1, 0, 14, 21.0, 11.0, 2.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT02_130015, PCS, Summer, 0, D, 1, PSG Talon, Frank Esports, 2125, Azhi, Skarner, 0, 4, 2, 317.0, JunJia, Karthus, 2, 5, 0, 283.0, Maple, Yone, 1, 1, 1, 394.0, Betty, Senna, 1, 2, 2, 81.0, Woody, Ornn, 0, 2, 3, 302.0, 3.0, 1.0, 0.0, 0.0, 0, 0, 0.0
LOLTMNT02_130038, PCS, Summer, 0, D, 2, PSG Talon, Frank Esports, 2081, Azhi, Twisted Fate, 4, 0, 7, 298.0, JunJia, Skarner, 4, 0, 11, 232.0, Maple, LeBlanc, 6, 0, 7, 304.0, Betty, Lucian, 7, 2, 8, 381.0, Woody, Nami, 0, 3, 17, 38.0, 10.0, 3.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT02_130070, PCS, Summer, 0, D, 3, PSG Talon, Frank Esports, 1964, Azhi, Twisted Fate, 5, 1, 2, 281.0, JunJia, Zyra, 3, 1, 5, 266.0, Maple, Corki, 2, 2, 4, 344.0, Betty, Kalista, 1, 0, 3, 346.0, Woody, Rell, 1, 1, 6, 50.0, 10.0, 4.0, 1.0, 2.0, 1, 1, 1.0
LOLTMNT03_118792, PCS, Summer, 0, E, 1, PSG Talon, CTBC Flying Oyster, 1711, Azhi, Twisted Fate, 4, 1, 4, 242.0, JunJia, Zyra, 0, 0, 10, 183.0, Maple, Ezreal, 4, 1, 5, 257.0, Betty, Miss Fortune, 4, 0, 0, 333.0, Woody, Leona, 0, 1, 6, 31.0, 9.0, 2.0, 1.0, 1.0, 1, 1, 1.0
