gameid, league, split, playoffs, series_num, game_num, ego_team, opp_team, gamelength, top_player, top_champion, top_primary_kills, top_primary_deaths, top_primary_assists, top_primary_total_cs, jgl_player, jgl_champion, jgl_primary_kills, jgl_primary_deaths, jgl_primary_assists, jgl_primary_total_cs, mid_player, mid_champion, mid_primary_kills, mid_primary_deaths, mid_primary_assists, mid_primary_total_cs, bot_player, bot_champion, bot_primary_kills, bot_primary_deaths, bot_primary_assists, bot_primary_total_cs, sup_player, sup_champion, sup_primary_kills, sup_primary_deaths, sup_primary_assists, sup_primary_total_cs, constant_turrets, constant_dragons, constant_heralds, constant_barons, constant_win, constant_win_under_30, constant_first_blood
LOLTMNT01_81302, VCS, Spring, 1, A, 1, Vikings Esports, GAM Esports, 1963, Fireblade, Renekton, 3, 4, 10, 279.0, Tomrio, Lee Sin, 5, 1, 10, 188.0, Kati, Taliyah, 3, 2, 10, 305.0, Shogun, Ashe, 8, 4, 7, 269.0, SofM, Karma, 1, 1, 13, 47.0, 8.0, 4.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT01_81306, VCS, Spring, 1, A, 2, Vikings Esports, GAM Esports, 2229, Fireblade, K'Sante, 1, 6, 7, 220.0, Tomrio, Xin Zhao, 4, 0, 11, 247.0, Kati, Orianna, 8, 3, 7, 346.0, Shogun, Caitlyn, 7, 5, 6, 337.0, SofM, Karma, 4, 1, 11, 50.0, 9.0, 5.0, 0.0, 2.0, 1, 1, 0.0
LOLTMNT01_82335, VCS, Spring, 1, B, 1, Vikings Esports, Team Secret, 2276, Fireblade, Rek'Sai, 1, 6, 2, 242.0, Tomrio, Lee Sin, 1, 3, 9, 193.0, Kati, Taliyah, 3, 3, 5, 367.0, Shogun, Zeri, 2, 3, 5, 434.0, SofM, Rumble, 4, 2, 2, 54.0, 2.0, 2.0, 0.0, 0.0, 0, 0, 1.0
LOLTMNT01_82342, VCS, Spring, 1, B, 2, Vikings Esports, Team Secret, 2398, Fireblade, K'Sante, 6, 0, 4, 343.0, Tomrio, Xin Zhao, 3, 1, 10, 243.0, Kati, Taliyah, 4, 4, 7, 397.0, Shogun, Varus, 6, 5, 6, 402.0, SofM, Heimerdinger, 1, 3, 10, 51.0, 9.0, 4.0, 1.0, 3.0, 1, 1, 1.0
LOLTMNT01_81680, VCS, Spring, 1, B, 3, Vikings Esports, Team Secret, 1500, Fireblade, Renekton, 2, 1, 10, 227.0, Tomrio, Maokai, 1, 1, 12, 148.0, Kati, Tristana, 6, 0, 5, 253.0, Shogun, Smolder, 8, 0, 4, 254.0, SofM, Rakan, 0, 1, 11, 28.0, 9.0, 1.0, 1.0, 1.0, 1, 1, 0.0
LOLTMNT01_81681, VCS, Spring, 1, B, 4, Vikings Esports, Team Secret, 1482, Fireblade, K'Sante, 3, 0, 3, 192.0, Tomrio, Maokai, 2, 2, 18, 124.0, Kati, Tristana, 12, 0, 4, 282.0, Shogun, Ziggs, 5, 4, 10, 203.0, SofM, Hwei, 0, 2, 18, 31.0, 10.0, 3.0, 1.0, 1.0, 1, 1, 0.0
LOLTMNT01_81897, VCS, Spring, 1, C, 1, Vikings Esports, GAM Esports, 2485, Fireblade, Aatrox, 1, 6, 6, 289.0, Tomrio, Xin Zhao, 2, 5, 5, 226.0, Kati, Orianna, 2, 2, 4, 427.0, Shogun, Kalista, 5, 5, 1, 387.0, SofM, Hwei, 0, 4, 8, 86.0, 4.0, 3.0, 0.0, 0.0, 0, 0, 0.0
LOLTMNT01_82627, VCS, Spring, 1, C, 2, Vikings Esports, GAM Esports, 2249, Fireblade, K'Sante, 7, 2, 5, 253.0, Tomrio, Kha'Zix, 7, 1, 8, 284.0, Kati, Taliyah, 5, 3, 10, 351.0, Shogun, Ashe, 7, 3, 10, 308.0, SofM, Hwei, 3, 2, 21, 96.0, 10.0, 5.0, 1.0, 1.0, 1, 1, 0.0
LOLTMNT01_81899, VCS, Spring, 1, C, 3, Vikings Esports, GAM Esports, 2191, Fireblade, K'Sante, 1, 2, 6, 278.0, Tomrio, Wukong, 3, 3, 6, 215.0, Kati, Ahri, 5, 4, 5, 313.0, Shogun, Kalista, 5, 7, 4, 325.0, SofM, Hwei, 2, 3, 12, 66.0, 2.0, 1.0, 1.0, 1.0, 0, 0, 1.0
LOLTMNT01_81918, VCS, Spring, 1, C, 4, Vikings Esports, GAM Esports, 1738, Fireblade, Renekton, 1, 7, 2, 173.0, Tomrio, Xin Zhao, 3, 6, 4, 177.0, Kati, Orianna, 4, 2, 5, 292.0, Shogun, Zeri, 1, 4, 2, 299.0, SofM, Rakan, 1, 3, 5, 32.0, 2.0, 2.0, 0.0, 0.0, 0, 0, 0.0
