gameid, league, split, playoffs, series_num, game_num, ego_team, opp_team, gamelength, top_player, top_champion, top_primary_kills, top_primary_deaths, top_primary_assists, top_primary_total_cs, jgl_player, jgl_champion, jgl_primary_kills, jgl_primary_deaths, jgl_primary_assists, jgl_primary_total_cs, mid_player, mid_champion, mid_primary_kills, mid_primary_deaths, mid_primary_assists, mid_primary_total_cs, bot_player, bot_champion, bot_primary_kills, bot_primary_deaths, bot_primary_assists, bot_primary_total_cs, sup_player, sup_champion, sup_primary_kills, sup_primary_deaths, sup_primary_assists, sup_primary_total_cs, constant_turrets, constant_dragons, constant_heralds, constant_barons, constant_win, constant_win_under_30, constant_first_blood
LOLTMNT03_33082, VCS, Spring, 0, A, 1, Vikings Esports, Team Secret, 2711, Kratos, K'Sante, 4, 4, 8, 354.0, Gury, Jarvan IV, 4, 6, 10, 218.0, Kati, Syndra, 7, 3, 7, 383.0, Shogun, Xayah, 4, 4, 8, 443.0, Kairi, Rakan, 1, 5, 14, 53.0, 4.0, 3.0, 0.0, 1.0, 0, 0, 0.0
LOLTMNT03_33084, VCS, Spring, 0, A, 2, Vikings Esports, Team Secret, 1787, Kratos, Aatrox, 5, 5, 2, 215.0, Gury, Jarvan IV, 0, 4, 9, 156.0, Kati, LeBlanc, 5, 3, 3, 268.0, Shogun, Ashe, 3, 4, 3, 268.0, Kairi, Braum, 2, 5, 6, 31.0, 4.0, 0.0, 0.0, 1.0, 0, 0, 0.0
LOLTMNT03_34612, VCS, Spring, 0, B, 1, Vikings Esports, Team Flash, 2202, Kratos, Aatrox, 5, 0, 6, 318.0, Gury, Xin Zhao, 2, 5, 6, 205.0, Kati, LeBlanc, 7, 6, 7, 299.0, Shogun, Varus, 5, 7, 9, 322.0, Kairi, Nautilus, 2, 8, 11, 38.0, 8.0, 3.0, 1.0, 1.0, 1, 1, 0.0
LOLTMNT03_34616, VCS, Spring, 0, B, 2, Vikings Esports, Team Flash, 2010, Kratos, K'Sante, 5, 1, 5, 262.0, Gury, Brand, 3, 4, 10, 224.0, Kati, Tristana, 7, 3, 9, 335.0, Shogun, Ziggs, 6, 5, 10, 299.0, Kairi, Rell, 0, 3, 16, 38.0, 8.0, 4.0, 1.0, 1.0, 1, 1, 0.0
LOLTMNT01_36754, VCS, Spring, 0, C, 1, Vikings Esports, MGN Blue Esports, 1525, Kratos, Gwen, 9, 0, 6, 261.0, Gury, Nocturne, 2, 1, 16, 190.0, Kati, Orianna, 4, 1, 15, 243.0, Shogun, Kai'Sa, 6, 2, 12, 238.0, Kairi, Rakan, 1, 2, 16, 38.0, 8.0, 3.0, 0.0, 1.0, 1, 1, 1.0
LOLTMNT01_36760, VCS, Spring, 0, C, 2, Vikings Esports, MGN Blue Esports, 1672, Kratos, Jax, 12, 0, 4, 270.0, Gury, Nocturne, 1, 1, 12, 200.0, Kati, Neeko, 2, 2, 12, 230.0, Shogun, Varus, 6, 1, 8, 302.0, Kairi, Nautilus, 0, 2, 10, 33.0, 9.0, 4.0, 0.0, 1.0, 1, 1, 1.0
LOLTMNT01_41674, VCS, Spring, 0, D, 1, Vikings Esports, Team Whales, 2227, Kratos, Aatrox, 2, 2, 2, 333.0, Gury, Jarvan IV, 1, 5, 4, 190.0, Kati, Viktor, 2, 3, 2, 305.0, Shogun, Lucian, 0, 3, 2, 375.0, Kairi, Nami, 1, 0, 3, 28.0, 4.0, 3.0, 0.0, 1.0, 0, 0, 1.0
LOLTMNT01_41682, VCS, Spring, 0, D, 2, Vikings Esports, Team Whales, 2041, Kratos, Gwen, 0, 3, 0, 349.0, Gury, Poppy, 0, 3, 0, 154.0, Kati, Taliyah, 0, 1, 0, 332.0, Shogun, Draven, 0, 3, 0, 283.0, Kairi, Renata Glasc, 0, 1, 0, 44.0, 1.0, 1.0, 0.0, 0.0, 0, 0, 0.0
LOLTMNT01_44746, VCS, Spring, 0, E, 1, Vikings Esports, GAM Esports, 2486, Kratos, Aatrox, 0, 3, 3, 382.0, Gury, Nocturne, 2, 3, 5, 235.0, Kati, Syndra, 3, 5, 5, 312.0, Shogun, Ezreal, 2, 2, 5, 456.0, Kairi, Rakan, 2, 3, 4, 57.0, 4.0, 3.0, 0.0, 0.0, 0, 0, 0.0
LOLTMNT01_44777, VCS, Spring, 0, E, 2, Vikings Esports, GAM Esports, 2397, Kratos, Gnar, 2, 4, 0, 367.0, Gury, Nocturne, 0, 5, 2, 219.0, Kati, Azir, 1, 4, 0, 428.0, Shogun, Kalista, 0, 5, 3, 339.0, Kairi, Rakan, 1, 1, 2, 54.0, 6.0, 2.0, 0.0, 1.0, 0, 0, 0.0
LOLTMNT01_58756, VCS, Spring, 0, F, 1, Vikings Esports, CERBERUS Esports, 1981, Kratos, K'Sante, 0, 3, 6, 259.0, Gury, Rell, 0, 4, 9, 171.0, Kati, Hwei, 5, 3, 5, 297.0, Shogun, Varus, 6, 3, 5, 352.0, Kairi, Ashe, 1, 1, 9, 49.0, 7.0, 3.0, 0.0, 1.0, 1, 1, 1.0
