gameid, league, split, playoffs, series_num, game_num, ego_team, opp_team, gamelength, top_player, top_champion, top_primary_kills, top_primary_deaths, top_primary_assists, top_primary_total_cs, jgl_player, jgl_champion, jgl_primary_kills, jgl_primary_deaths, jgl_primary_assists, jgl_primary_total_cs, mid_player, mid_champion, mid_primary_kills, mid_primary_deaths, mid_primary_assists, mid_primary_total_cs, bot_player, bot_champion, bot_primary_kills, bot_primary_deaths, bot_primary_assists, bot_primary_total_cs, sup_player, sup_champion, sup_primary_kills, sup_primary_deaths, sup_primary_assists, sup_primary_total_cs, constant_turrets, constant_dragons, constant_heralds, constant_barons, constant_win, constant_win_under_30, constant_first_blood
LOLTMNT02_151383, VCS, Summer, 1, A, 1, Vikings Esports, Team Whales, 1830, Nanaue, Jax, 3, 3, 5, 265.0, Gury, Zyra, 4, 0, 5, 250.0, Kati, Zeri, 4, 0, 4, 362.0, Shogun, Ashe, 3, 2, 8, 299.0, Bie, Rell, 3, 2, 11, 32.0, 9.0, 4.0, 1.0, 2.0, 1, 1, 1.0
LOLTMNT02_151418, VCS, Summer, 1, A, 2, Vikings Esports, Team Whales, 1622, Nanaue, Kennen, 4, 2, 4, 219.0, Gury, Maokai, 2, 3, 9, 172.0, Kati, Tristana, 4, 1, 4, 248.0, Shogun, Ashe, 5, 1, 7, 234.0, Bie, Renata Glasc, 2, 0, 11, 37.0, 11.0, 3.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT02_151434, VCS, Summer, 1, A, 3, Vikings Esports, Team Whales, 1704, Nanaue, K'Sante, 1, 2, 3, 231.0, Gury, Maokai, 0, 2, 7, 192.0, Kati, Zeri, 4, 1, 2, 336.0, Shogun, Ezreal, 6, 1, 3, 282.0, Bie, Poppy, 2, 0, 9, 45.0, 9.0, 3.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT02_154368, VCS, Summer, 1, B, 1, Vikings Esports, GAM Esports, 2812, Nanaue, Kennen, 2, 8, 1, 370.0, Gury, Viego, 1, 6, 8, 320.0, Kati, Corki, 3, 5, 5, 466.0, Shogun, Ziggs, 4, 4, 7, 428.0, Bie, Rell, 3, 5, 9, 41.0, 5.0, 3.0, 0.0, 1.0, 0, 0, 0.0
LOLTMNT02_154386, VCS, Summer, 1, B, 2, Vikings Esports, GAM Esports, 2494, Nanaue, Gnar, 4, 6, 9, 309.0, Gury, Zyra, 5, 5, 16, 254.0, Kati, Zeri, 10, 3, 10, 498.0, Shogun, Nautilus, 3, 5, 12, 211.0, Bie, Senna, 3, 2, 15, 84.0, 10.0, 2.0, 0.0, 1.0, 1, 1, 0.0
LOLTMNT02_153880, VCS, Summer, 1, B, 3, Vikings Esports, GAM Esports, 2352, Nanaue, Gnar, 2, 5, 4, 293.0, Gury, Zyra, 1, 3, 6, 330.0, Kati, Lucian, 4, 3, 1, 421.0, Shogun, Nautilus, 0, 3, 5, 235.0, Bie, Senna, 4, 2, 6, 52.0, 5.0, 2.0, 1.0, 0.0, 0, 0, 0.0
LOLTMNT02_154432, VCS, Summer, 1, B, 4, Vikings Esports, GAM Esports, 1854, Nanaue, Jax, 3, 4, 4, 253.0, Gury, Zyra, 5, 2, 6, 239.0, Kati, Zeri, 3, 0, 3, 365.0, Shogun, Caitlyn, 2, 1, 6, 339.0, Bie, Lux, 0, 2, 10, 52.0, 11.0, 3.0, 1.0, 1.0, 1, 1, 0.0
LOLTMNT02_154463, VCS, Summer, 1, B, 5, Vikings Esports, GAM Esports, 2747, Nanaue, Kennen, 3, 13, 6, 329.0, Gury, Maokai, 1, 4, 14, 208.0, Kati, Zeri, 8, 3, 7, 490.0, Shogun, Ziggs, 3, 2, 12, 458.0, Bie, Rakan, 1, 3, 13, 53.0, 5.0, 1.0, 0.0, 1.0, 0, 0, 0.0
LOLTMNT02_158491, VCS, Summer, 1, C, 1, Vikings Esports, Team Whales, 1748, Nanaue, Camille, 4, 2, 4, 274.0, Gury, Brand, 3, 1, 2, 252.0, Kati, Corki, 2, 0, 2, 318.0, Shogun, Ezreal, 1, 0, 3, 316.0, Bie, Leona, 0, 3, 4, 44.0, 11.0, 4.0, 1.0, 1.0, 1, 1, 0.0
LOLTMNT02_157885, VCS, Summer, 1, C, 2, Vikings Esports, Team Whales, 2446, Nanaue, Jax, 6, 4, 8, 334.0, Gury, Sejuani, 3, 2, 16, 280.0, Kati, Smolder, 12, 4, 4, 391.0, Shogun, Ziggs, 3, 1, 14, 386.0, Bie, Rell, 0, 4, 20, 39.0, 11.0, 4.0, 0.0, 2.0, 1, 1, 1.0
