gameid, league, split, playoffs, series_num, game_num, ego_team, opp_team, gamelength, top_player, top_champion, top_primary_kills, top_primary_deaths, top_primary_assists, top_primary_total_cs, jgl_player, jgl_champion, jgl_primary_kills, jgl_primary_deaths, jgl_primary_assists, jgl_primary_total_cs, mid_player, mid_champion, mid_primary_kills, mid_primary_deaths, mid_primary_assists, mid_primary_total_cs, bot_player, bot_champion, bot_primary_kills, bot_primary_deaths, bot_primary_assists, bot_primary_total_cs, sup_player, sup_champion, sup_primary_kills, sup_primary_deaths, sup_primary_assists, sup_primary_total_cs, constant_turrets, constant_dragons, constant_heralds, constant_barons, constant_win, constant_win_under_30, constant_first_blood
LOLTMNT02_110841, VCS, Summer, 0, A, 1, Vikings Esports, Team Whales, 2102, Nanaue, K'Sante, 2, 4, 10, 203.0, Gury, Kindred, 6, 2, 6, 270.0, Kati, Hwei, 3, 0, 11, 325.0, Shogun, Ashe, 6, 3, 11, 331.0, Bie, Leona, 1, 2, 10, 36.0, 11.0, 3.0, 0.0, 2.0, 1, 1, 0.0
LOLTMNT02_111774, VCS, Summer, 0, A, 2, Vikings Esports, Team Whales, 1962, Nanaue, K'Sante, 5, 3, 4, 244.0, Gury, Taliyah, 13, 1, 6, 255.0, Kati, Corki, 4, 5, 13, 321.0, Shogun, Sivir, 1, 2, 16, 329.0, Bie, Leona, 2, 2, 14, 36.0, 9.0, 4.0, 0.0, 1.0, 1, 1, 1.0
LOLTMNT02_115198, VCS, Summer, 0, B, 1, Vikings Esports, Team Secret, 1598, Nanaue, Skarner, 0, 0, 8, 228.0, Gury, Lee Sin, 1, 0, 7, 197.0, Kati, Hwei, 6, 0, 8, 270.0, Shogun, Zeri, 7, 1, 3, 309.0, Bie, Rakan, 0, 1, 14, 33.0, 9.0, 3.0, 0.0, 1.0, 1, 1, 1.0
LOLTMNT02_115214, VCS, Summer, 0, B, 2, Vikings Esports, Team Secret, 1893, Nanaue, Jax, 3, 2, 5, 285.0, Gury, Maokai, 3, 1, 10, 210.0, Kati, Corki, 8, 2, 7, 348.0, Shogun, Ezreal, 3, 3, 12, 322.0, Bie, Braum, 1, 2, 15, 41.0, 8.0, 4.0, 0.0, 1.0, 1, 1, 1.0
LOLTMNT02_124390, VCS, Summer, 0, C, 1, Vikings Esports, GAM Esports, 1838, Nanaue, Renekton, 5, 6, 4, 242.0, Gury, Maokai, 3, 1, 10, 229.0, Kati, Corki, 3, 4, 6, 290.0, Shogun, Ezreal, 5, 2, 7, 306.0, Bie, Leona, 0, 3, 4, 42.0, 7.0, 3.0, 0.0, 1.0, 1, 1, 1.0
LOLTMNT02_124433, VCS, Summer, 0, C, 2, Vikings Esports, GAM Esports, 1877, Nanaue, Rumble, 3, 4, 7, 221.0, Gury, Kindred, 2, 2, 7, 245.0, Kati, Taliyah, 4, 4, 8, 284.0, Shogun, Zeri, 3, 2, 6, 341.0, Bie, Rakan, 1, 4, 8, 34.0, 5.0, 1.0, 1.0, 0.0, 0, 0, 0.0
LOLTMNT02_127016, VCS, Summer, 0, C, 3, Vikings Esports, GAM Esports, 2659, Nanaue, K'Sante, 3, 3, 11, 284.0, Gury, Zyra, 3, 5, 14, 240.0, Kati, Tristana, 10, 1, 6, 450.0, Shogun, Zeri, 5, 5, 11, 439.0, Bie, Rell, 1, 6, 13, 40.0, 8.0, 2.0, 0.0, 1.0, 0, 0, 0.0
LOLTMNT02_127980, VCS, Summer, 0, D, 1, Vikings Esports, Team Whales, 2108, Nanaue, Jax, 2, 4, 5, 294.0, Gury, Nidalee, 10, 3, 11, 309.0, Kati, Lee Sin, 4, 4, 9, 328.0, Shogun, Nilah, 6, 4, 14, 348.0, Bie, Leona, 0, 2, 18, 55.0, 8.0, 4.0, 1.0, 1.0, 1, 1, 0.0
LOLTMNT02_129951, VCS, Summer, 0, D, 2, Vikings Esports, Team Whales, 1623, Nanaue, Rumble, 2, 3, 1, 213.0, Gury, Maokai, 2, 5, 3, 152.0, Kati, Sivir, 0, 4, 5, 287.0, Shogun, Senna, 3, 3, 3, 46.0, Bie, Nautilus, 0, 3, 5, 184.0, 3.0, 0.0, 0.0, 0.0, 0, 0, 1.0
LOLTMNT02_129971, VCS, Summer, 0, D, 3, Vikings Esports, Team Whales, 1591, Nanaue, K'Sante, 8, 0, 2, 232.0, Gury, Vi, 7, 0, 8, 199.0, Kati, Hwei, 5, 2, 8, 242.0, Shogun, Ezreal, 2, 2, 11, 255.0, Bie, Alistar, 2, 1, 18, 36.0, 9.0, 4.0, 1.0, 1.0, 1, 1, 1.0
