gameid, league, split, playoffs, series_num, game_num, ego_team, opp_team, gamelength, top_player, top_champion, top_primary_kills, top_primary_deaths, top_primary_assists, top_primary_total_cs, jgl_player, jgl_champion, jgl_primary_kills, jgl_primary_deaths, jgl_primary_assists, jgl_primary_total_cs, mid_player, mid_champion, mid_primary_kills, mid_primary_deaths, mid_primary_assists, mid_primary_total_cs, bot_player, bot_champion, bot_primary_kills, bot_primary_deaths, bot_primary_assists, bot_primary_total_cs, sup_player, sup_champion, sup_primary_kills, sup_primary_deaths, sup_primary_assists, sup_primary_total_cs, constant_turrets, constant_dragons, constant_heralds, constant_barons, constant_win, constant_win_under_30, constant_first_blood
LOLTMNT01_75251, CBLOL, Split 1, 1, A, 1, paiN Gaming, KaBuM! Esports, 2530, Wizer, Gragas, 3, 2, 9, 333.0, CarioK, Lee Sin, 0, 4, 8, 222.0, dyNquedo, Ahri, 2, 2, 10, 372.0, TitaN, Kalista, 8, 1, 4, 452.0, Kuri, Ashe, 1, 3, 8, 58.0, 10.0, 4.0, 1.0, 3.0, 1, 1, 1.0
LOLTMNT01_74907, CBLOL, Split 1, 1, A, 2, paiN Gaming, KaBuM! Esports, 1767, Wizer, Gragas, 0, 2, 3, 246.0, CarioK, Xin Zhao, 1, 6, 3, 159.0, dyNquedo, Ahri, 1, 1, 2, 265.0, TitaN, Zeri, 3, 5, 2, 280.0, Kuri, Lulu, 0, 3, 4, 27.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0
LOLTMNT01_75283, CBLOL, Split 1, 1, A, 3, paiN Gaming, KaBuM! Esports, 2010, Wizer, Renekton, 0, 0, 3, 361.0, CarioK, Lee Sin, 0, 1, 4, 211.0, dyNquedo, Ahri, 4, 0, 0, 348.0, TitaN, Varus, 4, 0, 2, 342.0, Kuri, Neeko, 1, 1, 4, 48.0, 7.0, 4.0, 1.0, 0.0, 1, 1, 1.0
LOLTMNT01_74926, CBLOL, Split 1, 1, A, 4, paiN Gaming, KaBuM! Esports, 2499, Wizer, Gnar, 2, 3, 3, 370.0, CarioK, Lee Sin, 9, 4, 7, 234.0, dyNquedo, Ahri, 2, 4, 8, 335.0, TitaN, Zeri, 5, 3, 7, 454.0, Kuri, Rakan, 0, 5, 13, 39.0, 10.0, 5.0, 0.0, 1.0, 1, 1, 1.0
LOLTMNT01_79569, CBLOL, Split 1, 1, B, 1, paiN Gaming, Vivo Keyd Stars, 1979, Wizer, Renekton, 1, 5, 9, 277.0, CarioK, Rell, 2, 4, 10, 170.0, dyNquedo, Aurelion Sol, 7, 0, 6, 287.0, TitaN, Kalista, 4, 0, 8, 339.0, Kuri, Renata Glasc, 3, 1, 12, 42.0, 7.0, 3.0, 1.0, 2.0, 1, 1, 0.0
LOLTMNT01_80204, CBLOL, Split 1, 1, B, 2, paiN Gaming, Vivo Keyd Stars, 1766, Wizer, Jax, 2, 2, 7, 258.0, CarioK, Maokai, 1, 2, 11, 144.0, dyNquedo, Taliyah, 3, 1, 11, 270.0, TitaN, Kalista, 8, 1, 6, 273.0, Kuri, Neeko, 4, 1, 10, 45.0, 9.0, 3.0, 0.0, 1.0, 1, 1, 1.0
LOLTMNT01_79588, CBLOL, Split 1, 1, B, 3, paiN Gaming, Vivo Keyd Stars, 2072, Wizer, Gnar, 2, 6, 3, 254.0, CarioK, Rell, 1, 6, 8, 128.0, dyNquedo, Hwei, 7, 3, 5, 306.0, TitaN, Aphelios, 5, 6, 3, 347.0, Kuri, Lulu, 2, 5, 11, 42.0, 3.0, 1.0, 0.0, 0.0, 0, 0, 1.0
LOLTMNT01_79600, CBLOL, Split 1, 1, B, 4, paiN Gaming, Vivo Keyd Stars, 2447, Wizer, Olaf, 4, 5, 3, 300.0, CarioK, Rell, 1, 8, 11, 165.0, dyNquedo, Karma, 1, 1, 6, 312.0, TitaN, Varus, 4, 3, 4, 364.0, Kuri, Neeko, 3, 3, 6, 57.0, 4.0, 3.0, 1.0, 1.0, 0, 0, 0.0
LOLTMNT01_79609, CBLOL, Split 1, 1, B, 5, paiN Gaming, Vivo Keyd Stars, 2491, Wizer, Renekton, 5, 2, 10, 356.0, CarioK, Rell, 3, 3, 15, 200.0, dyNquedo, Karma, 6, 1, 14, 312.0, TitaN, Jinx, 9, 6, 9, 427.0, Kuri, Milio, 0, 3, 20, 28.0, 10.0, 4.0, 0.0, 2.0, 1, 1, 1.0
LOLTMNT02_70552, CBLOL, Split 1, 1, C, 1, paiN Gaming, LOUD, 2722, Wizer, K'Sante, 3, 4, 3, 291.0, CarioK, Poppy, 1, 5, 7, 199.0, dyNquedo, Azir, 2, 1, 3, 483.0, TitaN, Varus, 4, 4, 4, 416.0, Kuri, Ashe, 0, 2, 8, 67.0, 3.0, 3.0, 0.0, 1.0, 0, 0, 1.0
