gameid, league, split, playoffs, series_num, game_num, ego_team, opp_team, gamelength, top_player, top_champion, top_primary_kills, top_primary_deaths, top_primary_assists, top_primary_total_cs, jgl_player, jgl_champion, jgl_primary_kills, jgl_primary_deaths, jgl_primary_assists, jgl_primary_total_cs, mid_player, mid_champion, mid_primary_kills, mid_primary_deaths, mid_primary_assists, mid_primary_total_cs, bot_player, bot_champion, bot_primary_kills, bot_primary_deaths, bot_primary_assists, bot_primary_total_cs, sup_player, sup_champion, sup_primary_kills, sup_primary_deaths, sup_primary_assists, sup_primary_total_cs, constant_turrets, constant_dragons, constant_heralds, constant_barons, constant_win, constant_win_under_30, constant_first_blood
LOLTMNT03_34185, CBLOL, Split 1, 0, A, 1, paiN Gaming, RED Canids, 1934, Wizer, Kayle, 3, 4, 3, 276.0, CarioK, Xin Zhao, 2, 3, 4, 176.0, dyNquedo, Azir, 4, 3, 5, 271.0, TitaN, Xayah, 2, 6, 7, 304.0, Kuri, Rell, 0, 7, 7, 35.0, 3.0, 1.0, 0.0, 0.0, 0, 0, 0.0
LOLTMNT03_34311, CBLOL, Split 1, 0, B, 1, paiN Gaming, LOUD, 1689, Wizer, Rumble, 8, 1, 13, 223.0, CarioK, Xin Zhao, 6, 2, 11, 171.0, dyNquedo, Orianna, 4, 1, 16, 228.0, TitaN, Caitlyn, 6, 4, 10, 257.0, Kuri, Milio, 0, 0, 18, 33.0, 10.0, 1.0, 0.0, 1.0, 1, 1, 1.0
LOLTMNT02_33261, CBLOL, Split 1, 0, C, 1, paiN Gaming, FURIA, 2024, Wizer, K'Sante, 4, 2, 5, 307.0, CarioK, Maokai, 0, 3, 11, 196.0, dyNquedo, Orianna, 2, 0, 9, 287.0, TitaN, Caitlyn, 7, 0, 5, 342.0, Kuri, Milio, 0, 0, 13, 28.0, 10.0, 4.0, 0.0, 2.0, 1, 1, 1.0
LOLTMNT02_34812, CBLOL, Split 1, 0, D, 1, paiN Gaming, Liberty, 2276, Wizer, Kayle, 2, 7, 6, 321.0, CarioK, Xin Zhao, 3, 4, 8, 215.0, dyNquedo, Orianna, 4, 1, 7, 319.0, TitaN, Kalista, 4, 3, 9, 359.0, Kuri, Rell, 2, 3, 13, 33.0, 5.0, 3.0, 0.0, 1.0, 0, 0, 1.0
LOLTMNT01_44990, CBLOL, Split 1, 0, E, 1, paiN Gaming, Los Grandes, 2403, Wizer, K'Sante, 1, 2, 9, 322.0, CarioK, Rell, 0, 3, 18, 215.0, dyNquedo, Azir, 5, 0, 4, 416.0, TitaN, Lucian, 13, 5, 2, 400.0, Kuri, Nami, 0, 1, 17, 52.0, 10.0, 4.0, 0.0, 3.0, 1, 1, 1.0
LOLTMNT01_46811, CBLOL, Split 1, 0, F, 1, paiN Gaming, KaBuM! Esports, 1770, Wizer, K'Sante, 2, 0, 8, 251.0, CarioK, Maokai, 2, 0, 9, 154.0, dyNquedo, Taliyah, 1, 1, 7, 273.0, TitaN, Varus, 4, 0, 5, 302.0, Kuri, Ashe, 2, 0, 7, 41.0, 9.0, 4.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT01_52730, CBLOL, Split 1, 0, G, 1, paiN Gaming, Fluxo, 2011, Wizer, K'Sante, 3, 2, 6, 248.0, CarioK, Maokai, 1, 1, 16, 193.0, dyNquedo, Orianna, 7, 2, 11, 257.0, TitaN, Caitlyn, 9, 1, 8, 322.0, Kuri, Renata Glasc, 0, 2, 20, 49.0, 11.0, 4.0, 0.0, 2.0, 1, 1, 0.0
LOLTMNT01_54118, CBLOL, Split 1, 0, H, 1, paiN Gaming, Vivo Keyd Stars, 1707, Wizer, K'Sante, 4, 1, 11, 214.0, CarioK, Maokai, 2, 1, 17, 153.0, dyNquedo, Taliyah, 7, 1, 13, 243.0, TitaN, Lucian, 10, 3, 13, 281.0, Kuri, Nami, 3, 0, 19, 24.0, 10.0, 1.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT02_48215, CBLOL, Split 1, 0, I, 1, paiN Gaming, INTZ, 1889, Wizer, Udyr, 1, 1, 2, 246.0, CarioK, Maokai, 1, 1, 10, 150.0, dyNquedo, Hwei, 3, 2, 3, 264.0, TitaN, Aphelios, 6, 1, 3, 314.0, Kuri, Milio, 1, 1, 9, 32.0, 7.0, 3.0, 0.0, 1.0, 1, 1, 1.0
LOLTMNT02_48804, CBLOL, Split 1, 0, J, 1, paiN Gaming, RED Canids, 1892, Wizer, Aatrox, 2, 2, 8, 278.0, CarioK, Maokai, 3, 1, 9, 144.0, dyNquedo, Hwei, 7, 1, 11, 257.0, TitaN, Xayah, 11, 2, 6, 339.0, Kuri, Rakan, 0, 2, 19, 43.0, 9.0, 4.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT02_55814, CBLOL, Split 1, 0, K, 1, paiN Gaming, LOUD, 2260, Wizer, Poppy, 0, 3, 5, 278.0, CarioK, Lee Sin, 1, 3, 6, 198.0, dyNquedo, Azir, 1, 3, 10, 341.0, TitaN, Smolder, 9, 3, 2, 411.0, Kuri, Nautilus, 0, 5, 8, 43.0, 3.0, 3.0, 0.0, 0.0, 0, 0, 0.0
LOLTMNT02_57465, CBLOL, Split 1, 0, L, 1, paiN Gaming, FURIA, 2545, Wizer, Yone, 4, 4, 8, 371.0, CarioK, Lee Sin, 5, 2, 9, 233.0, dyNquedo, Azir, 1, 5, 9, 322.0, TitaN, Kalista, 6, 3, 7, 423.0, Kuri, Nautilus, 0, 4, 9, 37.0, 8.0, 5.0, 1.0, 1.0, 1, 1, 0.0
LOLTMNT03_45407, CBLOL, Split 1, 0, M, 1, paiN Gaming, Liberty, 1745, Wizer, Jayce, 2, 3, 3, 262.0, CarioK, Lee Sin, 4, 3, 2, 160.0, dyNquedo, Hwei, 3, 2, 3, 260.0, TitaN, Senna, 1, 4, 7, 38.0, Kuri, Tahm Kench, 0, 2, 3, 176.0, 2.0, 0.0, 0.0, 0.0, 0, 0, 1.0
LOLTMNT03_47052, CBLOL, Split 1, 0, N, 1, paiN Gaming, Los Grandes, 1770, Wizer, Gnar, 7, 1, 6, 249.0, CarioK, Rell, 3, 1, 12, 168.0, dyNquedo, Hwei, 7, 2, 9, 277.0, TitaN, Zeri, 1, 2, 5, 377.0, Kuri, Lulu, 0, 0, 10, 38.0, 9.0, 5.0, 0.0, 1.0, 1, 1, 1.0
LOLTMNT03_50563, CBLOL, Split 1, 0, O, 1, paiN Gaming, KaBuM! Esports, 1981, Wizer, Gnar, 0, 1, 1, 281.0, CarioK, Vi, 1, 5, 1, 171.0, dyNquedo, Karma, 1, 3, 2, 236.0, TitaN, Zeri, 1, 5, 0, 291.0, Kuri, Lulu, 0, 1, 2, 45.0, 3.0, 0.0, 0.0, 0.0, 0, 0, 1.0
LOLTMNT03_51939, CBLOL, Split 1, 0, P, 1, paiN Gaming, Fluxo, 2029, Wizer, Aatrox, 0, 7, 6, 220.0, CarioK, Vi, 0, 9, 6, 170.0, dyNquedo, Hwei, 7, 3, 6, 261.0, TitaN, Xayah, 9, 2, 4, 371.0, Kuri, Rakan, 0, 3, 11, 36.0, 3.0, 1.0, 0.0, 1.0, 0, 0, 0.0
